Resource,Derating_Factor_1
NG_7135_1,0.95
NG_7133_1,0.95
NG_6277_G1,0.95
NG_1063_1,0.95
NG_5012_9,0.95
NG_5012_8,0.95
NG_12761_6,0.95
NG_12761_5,0.95
NG_12761_4,0.95
NG_12761_3,0.95
NG_12761_2,0.95
NG_5012_7,0.95
NG_12761_1,0.95
NG_5012_6,0.95
NG_5012_5,0.95
NG_12743_8,0.95
NG_12743_7,0.95
NG_12743_6,0.95
NG_5012_4,0.95
NG_12743_5,0.95
NG_12961_6,0.95
NG_12743_4,0.95
NG_12743_3,0.95
NG_12743_2,0.95
NG_5012_3,0.95
NG_1062_1,0.95
NG_12743_1,0.95
NG_12742_8,0.95
NG_12742_7,0.95
NG_12742_6,0.95
NG_5012_2,0.95
NG_12742_5,0.95
NG_12742_4,0.95
NG_7058_5,0.95
NG_7355_1,0.95
NG_12742_3,0.95
NG_12742_2,0.95
NG_7058_4,0.95
NG_5012_12,0.95
NG_12742_1,0.95
NG_12998_1,0.95
NG_12741_1,0.95
NG_12740_1,0.95
NG_5012_11,0.95
NG_7058_1,0.95
NG_7400_73,0.95
NG_13016_1,0.95
NG_7054_2,0.95
NG_5012_10,0.95
NG_13377_7,0.95
NG_7054_1,0.95
NG_12729_3,0.95
NG_7400_84,0.95
NG_5012_1,0.95
NG_7034_1,0.95
NG_12622_ST,0.95
NG_7033_1,0.95
NG_7032_1,0.95
NG_7031_1,0.95
NG_4162_9,0.95
NG_7029_3,0.95
NG_13406_1,0.95
NG_12706_1,0.95
NG_12705_1,0.95
NG_7029_2,0.95
NG_12702_1,0.95
NG_7029_1,0.95
NG_4161_8,0.95
NG_12701_1,0.95
NG_7024_10,0.95
NG_12692_1,0.95
NG_12689_9,0.95
NG_12689_8,0.95
NG_12689_7,0.95
NG_12689_6,0.95
NG_1074_1,0.95
NG_12689_5,0.95
NG_2024_1,0.95
NG_13377_6A,0.95
NG_12689_4,0.95
NG_12689_3,0.95
NG_7007_1,0.95
NG_12689_2,0.95
NG_12689_10,0.95
NG_12689_1,0.95
NG_7005_1,0.95
NG_4116_5,0.95
NG_6304_U3,0.95
NG_6302_U2,0.95
NG_13126_7,0.95
NG_2023_1,0.95
NG_6301_U4,0.95
NG_12623_1,0.95
NG_12673_1,0.95
NG_6297_1,0.95
NG_12672_1,0.95
NG_12671_1,0.95
NG_6296_1,0.95
NG_12670_1,0.95
NG_12669_1,0.95
NG_4103_9,0.95
NG_12507_1,0.95
NG_1052_1,0.95
NG_6277_G7,0.95
NG_6277_G6,0.95
NG_6277_G5,0.95
NG_4103_7,0.95
NG_6277_G4,0.95
NG_4103_6,0.95
NG_12645_1,0.95
NG_6277_G2,0.95
NG_12644_1,0.95
NG_4103_5,0.95
NG_6260_1,0.95
NG_4103_4,0.95
NG_12628_1,0.95
NG_6259_1,0.95
NG_12627_1,0.95
NG_12626_1,0.95
NG_6258_5C,0.95
NG_4103_3,0.95
NG_6257_5A,0.95
NG_1051_1,0.95
NG_6254_4,0.95
NG_13377_8,0.95
NG_4103_2,0.95
NG_12616_1,0.95
NG_6254_3,0.95
NG_12614_1,0.95
NG_12612_2,0.95
NG_4103_12,0.95
NG_2118_1,0.95
NG_12611_1,0.95
NG_12610_3,0.95
NG_6254_1,0.95
NG_13358_1,0.95
NG_4103_11,0.95
NG_6242_1,0.95
NG_6233_4,0.95
NG_4103_10,0.95
NG_12643_1,0.95
NG_13253_4,0.95
NG_13376_1,0.95
DFO_4069_2,0.95
DFO_4069_1,0.95
DFO_5049_1,0.95
DFO_12727_1,0.95
DFO_12726_1,0.95
DFO_12725_1,0.95
DFO_12723_1,0.95
DFO_12722_1,0.95
BIT_12525_1,0.95
BIT_12524_2,0.95
BIT_6080_3,0.95
BIT_6079_2,0.95
BIT_6078_1,0.95
BIT_12504_1,0.95
BIT_12503_3,0.95
BIT_12502_2,0.95
BIT_8088_1,0.95
BIT_8087_1,0.95
BIT_8071_1,0.95
BIT_8070_2,0.95
BIT_5360_1,0.95
BIT_4030_1,0.95
BIT_4026_1,0.95
BIT_7349_5,0.95
BIT_12777_1,0.95
BIT_12776_2,0.95
NG_CT_13246_GF,0.95
NG_CCGT_13246_GF,0.95
COAL_13246_GF,0.95
NUC_13246_GF,0.95
NG_CT_13205_GF,0.95
NG_CCGT_13205_GF,0.95
COAL_13205_GF,0.95
NUC_13205_GF,0.95
NG_CT_3017_GF,0.95
NG_CCGT_3017_GF,0.95
COAL_3017_GF,0.95
NUC_3017_GF,0.95
NG_CT_13248_GF,0.95
NG_CCGT_13248_GF,0.95
COAL_13248_GF,0.95
NUC_13248_GF,0.95
NG_CT_13195_GF,0.95
NG_CCGT_13195_GF,0.95
COAL_13195_GF,0.95
NUC_13195_GF,0.95
NG_CT_13143_GF,0.95
NG_CCGT_13143_GF,0.95
COAL_13143_GF,0.95
NUC_13143_GF,0.95
NG_CT_13076_GF,0.95
NG_CCGT_13076_GF,0.95
COAL_13076_GF,0.95
NUC_13076_GF,0.95
NG_CT_13288_GF,0.95
NG_CCGT_13288_GF,0.95
COAL_13288_GF,0.95
NUC_13288_GF,0.95
NG_CT_3020_GF,0.95
NG_CCGT_3020_GF,0.95
COAL_3020_GF,0.95
NUC_3020_GF,0.95
NG_CT_13396_GF,0.95
NG_CCGT_13396_GF,0.95
COAL_13396_GF,0.95
NUC_13396_GF,0.95
NG_CT_13035_GF,0.95
NG_CCGT_13035_GF,0.95
COAL_13035_GF,0.95
NUC_13035_GF,0.95
NG_CT_13132_GF,0.95
NG_CCGT_13132_GF,0.95
COAL_13132_GF,0.95
NUC_13132_GF,0.95
NG_CT_13258_GF,0.95
NG_CCGT_13258_GF,0.95
COAL_13258_GF,0.95
NUC_13258_GF,0.95
NG_CT_3062_GF,0.95
NG_CCGT_3062_GF,0.95
COAL_3062_GF,0.95
NUC_3062_GF,0.95
NG_CT_5170_GF,0.95
NG_CCGT_5170_GF,0.95
COAL_5170_GF,0.95
NUC_5170_GF,0.95
NG_CT_13033_GF,0.95
NG_CCGT_13033_GF,0.95
COAL_13033_GF,0.95
NUC_13033_GF,0.95
NG_CT_12595_GF,0.95
NG_CCGT_12595_GF,0.95
COAL_12595_GF,0.95
NUC_12595_GF,0.95
NG_CT_4010_GF,0.95
NG_CCGT_4010_GF,0.95
COAL_4010_GF,0.95
NUC_4010_GF,0.95
NG_CT_2062_GF,0.95
NG_CCGT_2062_GF,0.95
COAL_2062_GF,0.95
NUC_2062_GF,0.95
NG_CT_4166_GF,0.95
NG_CCGT_4166_GF,0.95
COAL_4166_GF,0.95
NUC_4166_GF,0.95
NG_CT_13240_GF,0.95
NG_CCGT_13240_GF,0.95
COAL_13240_GF,0.95
NUC_13240_GF,0.95
NG_CT_2013_GF,0.95
NG_CCGT_2013_GF,0.95
COAL_2013_GF,0.95
NUC_2013_GF,0.95
NG_CT_13208_GF,0.95
NG_CCGT_13208_GF,0.95
COAL_13208_GF,0.95
NUC_13208_GF,0.95
NG_CT_13042_GF,0.95
NG_CCGT_13042_GF,0.95
COAL_13042_GF,0.95
NUC_13042_GF,0.95
NG_CT_13262_GF,0.95
NG_CCGT_13262_GF,0.95
COAL_13262_GF,0.95
NUC_13262_GF,0.95
NG_CT_13284_GF,0.95
NG_CCGT_13284_GF,0.95
COAL_13284_GF,0.95
NUC_13284_GF,0.95
NG_CT_13283_GF,0.95
NG_CCGT_13283_GF,0.95
COAL_13283_GF,0.95
NUC_13283_GF,0.95
NG_CT_3113_GF,0.95
NG_CCGT_3113_GF,0.95
COAL_3113_GF,0.95
NUC_3113_GF,0.95
NG_CT_12907_GF,0.95
NG_CCGT_12907_GF,0.95
COAL_12907_GF,0.95
NUC_12907_GF,0.95
NG_CT_13405_GF,0.95
NG_CCGT_13405_GF,0.95
COAL_13405_GF,0.95
NUC_13405_GF,0.95
NG_CT_1067_GF,0.95
NG_CCGT_1067_GF,0.95
COAL_1067_GF,0.95
NUC_1067_GF,0.95
NG_CT_12631_GF,0.95
NG_CCGT_12631_GF,0.95
COAL_12631_GF,0.95
NUC_12631_GF,0.95
NG_CT_12960_GF,0.95
NG_CCGT_12960_GF,0.95
COAL_12960_GF,0.95
NUC_12960_GF,0.95
NG_CT_12985_GF,0.95
NG_CCGT_12985_GF,0.95
COAL_12985_GF,0.95
NUC_12985_GF,0.95
NG_CT_2099_GF,0.95
NG_CCGT_2099_GF,0.95
COAL_2099_GF,0.95
NUC_2099_GF,0.95
NG_CT_3122_GF,0.95
NG_CCGT_3122_GF,0.95
COAL_3122_GF,0.95
NUC_3122_GF,0.95
NG_CT_13066_GF,0.95
NG_CCGT_13066_GF,0.95
COAL_13066_GF,0.95
NUC_13066_GF,0.95
NG_CT_4153_GF,0.95
NG_CCGT_4153_GF,0.95
COAL_4153_GF,0.95
NUC_4153_GF,0.95
NG_CT_3117_GF,0.95
NG_CCGT_3117_GF,0.95
COAL_3117_GF,0.95
NUC_3117_GF,0.95
NG_CT_13419_GF,0.95
NG_CCGT_13419_GF,0.95
COAL_13419_GF,0.95
NUC_13419_GF,0.95
NG_CT_12964_GF,0.95
NG_CCGT_12964_GF,0.95
COAL_12964_GF,0.95
NUC_12964_GF,0.95
NG_CT_13150_GF,0.95
NG_CCGT_13150_GF,0.95
COAL_13150_GF,0.95
NUC_13150_GF,0.95
NG_CT_12737_GF,0.95
NG_CCGT_12737_GF,0.95
COAL_12737_GF,0.95
NUC_12737_GF,0.95
NG_CT_12753_GF,0.95
NG_CCGT_12753_GF,0.95
COAL_12753_GF,0.95
NUC_12753_GF,0.95
NG_CT_12638_GF,0.95
NG_CCGT_12638_GF,0.95
COAL_12638_GF,0.95
NUC_12638_GF,0.95
NG_CT_1090_GF,0.95
NG_CCGT_1090_GF,0.95
COAL_1090_GF,0.95
NUC_1090_GF,0.95
NG_CT_13172_GF,0.95
NG_CCGT_13172_GF,0.95
COAL_13172_GF,0.95
NUC_13172_GF,0.95
NG_CT_13201_GF,0.95
NG_CCGT_13201_GF,0.95
COAL_13201_GF,0.95
NUC_13201_GF,0.95
NG_CT_13299_GF,0.95
NG_CCGT_13299_GF,0.95
COAL_13299_GF,0.95
NUC_13299_GF,0.95
NG_CT_13130_GF,0.95
NG_CCGT_13130_GF,0.95
COAL_13130_GF,0.95
NUC_13130_GF,0.95
NG_CT_13180_GF,0.95
NG_CCGT_13180_GF,0.95
COAL_13180_GF,0.95
NUC_13180_GF,0.95
NG_CT_12594_GF,0.95
NG_CCGT_12594_GF,0.95
COAL_12594_GF,0.95
NUC_12594_GF,0.95
NG_CT_13048_GF,0.95
NG_CCGT_13048_GF,0.95
COAL_13048_GF,0.95
NUC_13048_GF,0.95
NG_CT_12868_GF,0.95
NG_CCGT_12868_GF,0.95
COAL_12868_GF,0.95
NUC_12868_GF,0.95
NG_CT_3068_GF,0.95
NG_CCGT_3068_GF,0.95
COAL_3068_GF,0.95
NUC_3068_GF,0.95
NG_CT_13365_GF,0.95
NG_CCGT_13365_GF,0.95
COAL_13365_GF,0.95
NUC_13365_GF,0.95
NG_CT_13353_GF,0.95
NG_CCGT_13353_GF,0.95
COAL_13353_GF,0.95
NUC_13353_GF,0.95
NG_CT_1035_GF,0.95
NG_CCGT_1035_GF,0.95
COAL_1035_GF,0.95
NUC_1035_GF,0.95
NG_CT_13263_GF,0.95
NG_CCGT_13263_GF,0.95
COAL_13263_GF,0.95
NUC_13263_GF,0.95
NG_CT_5020_GF,0.95
NG_CCGT_5020_GF,0.95
COAL_5020_GF,0.95
NUC_5020_GF,0.95
NG_CT_12609_GF,0.95
NG_CCGT_12609_GF,0.95
COAL_12609_GF,0.95
NUC_12609_GF,0.95
NG_CT_12792_GF,0.95
NG_CCGT_12792_GF,0.95
COAL_12792_GF,0.95
NUC_12792_GF,0.95
NG_CT_3092_GF,0.95
NG_CCGT_3092_GF,0.95
COAL_3092_GF,0.95
NUC_3092_GF,0.95
NG_CT_12821_GF,0.95
NG_CCGT_12821_GF,0.95
COAL_12821_GF,0.95
NUC_12821_GF,0.95
NG_CT_13308_GF,0.95
NG_CCGT_13308_GF,0.95
COAL_13308_GF,0.95
NUC_13308_GF,0.95
NG_CT_12848_GF,0.95
NG_CCGT_12848_GF,0.95
COAL_12848_GF,0.95
NUC_12848_GF,0.95
NG_CT_12884_GF,0.95
NG_CCGT_12884_GF,0.95
COAL_12884_GF,0.95
NUC_12884_GF,0.95
NG_CT_12930_GF,0.95
NG_CCGT_12930_GF,0.95
COAL_12930_GF,0.95
NUC_12930_GF,0.95
NG_CT_13367_GF,0.95
NG_CCGT_13367_GF,0.95
COAL_13367_GF,0.95
NUC_13367_GF,0.95
NG_CT_2078_GF,0.95
NG_CCGT_2078_GF,0.95
COAL_2078_GF,0.95
NUC_2078_GF,0.95
NG_CT_3115_GF,0.95
NG_CCGT_3115_GF,0.95
COAL_3115_GF,0.95
NUC_3115_GF,0.95
NG_CT_1039_GF,0.95
NG_CCGT_1039_GF,0.95
COAL_1039_GF,0.95
NUC_1039_GF,0.95
NG_CT_13054_GF,0.95
NG_CCGT_13054_GF,0.95
COAL_13054_GF,0.95
NUC_13054_GF,0.95
NG_CT_12971_GF,0.95
NG_CCGT_12971_GF,0.95
COAL_12971_GF,0.95
NUC_12971_GF,0.95
NG_CT_12818_GF,0.95
NG_CCGT_12818_GF,0.95
COAL_12818_GF,0.95
NUC_12818_GF,0.95
NG_CT_13158_GF,0.95
NG_CCGT_13158_GF,0.95
COAL_13158_GF,0.95
NUC_13158_GF,0.95
NG_CT_3060_GF,0.95
NG_CCGT_3060_GF,0.95
COAL_3060_GF,0.95
NUC_3060_GF,0.95
NG_CT_3081_GF,0.95
NG_CCGT_3081_GF,0.95
COAL_3081_GF,0.95
NUC_3081_GF,0.95
NG_CT_12956_GF,0.95
NG_CCGT_12956_GF,0.95
COAL_12956_GF,0.95
NUC_12956_GF,0.95
NG_CT_13374_GF,0.95
NG_CCGT_13374_GF,0.95
COAL_13374_GF,0.95
NUC_13374_GF,0.95
NG_CT_13047_GF,0.95
NG_CCGT_13047_GF,0.95
COAL_13047_GF,0.95
NUC_13047_GF,0.95
NG_CT_13060_GF,0.95
NG_CCGT_13060_GF,0.95
COAL_13060_GF,0.95
NUC_13060_GF,0.95
NG_CT_13030_GF,0.95
NG_CCGT_13030_GF,0.95
COAL_13030_GF,0.95
NUC_13030_GF,0.95
NG_CT_2042_GF,0.95
NG_CCGT_2042_GF,0.95
COAL_2042_GF,0.95
NUC_2042_GF,0.95
NG_CT_1006_GF,0.95
NG_CCGT_1006_GF,0.95
COAL_1006_GF,0.95
NUC_1006_GF,0.95
NG_CT_3056_GF,0.95
NG_CCGT_3056_GF,0.95
COAL_3056_GF,0.95
NUC_3056_GF,0.95
NG_CT_12745_GF,0.95
NG_CCGT_12745_GF,0.95
COAL_12745_GF,0.95
NUC_12745_GF,0.95
NG_CT_13129_GF,0.95
NG_CCGT_13129_GF,0.95
COAL_13129_GF,0.95
NUC_13129_GF,0.95
NG_CT_13156_GF,0.95
NG_CCGT_13156_GF,0.95
COAL_13156_GF,0.95
NUC_13156_GF,0.95
NG_CT_13392_GF,0.95
NG_CCGT_13392_GF,0.95
COAL_13392_GF,0.95
NUC_13392_GF,0.95
NG_CT_13011_GF,0.95
NG_CCGT_13011_GF,0.95
COAL_13011_GF,0.95
NUC_13011_GF,0.95
NG_CT_13168_GF,0.95
NG_CCGT_13168_GF,0.95
COAL_13168_GF,0.95
NUC_13168_GF,0.95
NG_CT_3061_GF,0.95
NG_CCGT_3061_GF,0.95
COAL_3061_GF,0.95
NUC_3061_GF,0.95
NG_CT_3065_GF,0.95
NG_CCGT_3065_GF,0.95
COAL_3065_GF,0.95
NUC_3065_GF,0.95
NG_CT_1026_GF,0.95
NG_CCGT_1026_GF,0.95
COAL_1026_GF,0.95
NUC_1026_GF,0.95
NG_CT_13279_GF,0.95
NG_CCGT_13279_GF,0.95
COAL_13279_GF,0.95
NUC_13279_GF,0.95
NG_CT_13068_GF,0.95
NG_CCGT_13068_GF,0.95
COAL_13068_GF,0.95
NUC_13068_GF,0.95
NG_CT_13112_GF,0.95
NG_CCGT_13112_GF,0.95
COAL_13112_GF,0.95
NUC_13112_GF,0.95
NG_CT_13290_GF,0.95
NG_CCGT_13290_GF,0.95
COAL_13290_GF,0.95
NUC_13290_GF,0.95
NG_CT_13199_GF,0.95
NG_CCGT_13199_GF,0.95
COAL_13199_GF,0.95
NUC_13199_GF,0.95
NG_CT_3004_GF,0.95
NG_CCGT_3004_GF,0.95
COAL_3004_GF,0.95
NUC_3004_GF,0.95
NG_CT_13409_GF,0.95
NG_CCGT_13409_GF,0.95
COAL_13409_GF,0.95
NUC_13409_GF,0.95
NG_CT_13170_GF,0.95
NG_CCGT_13170_GF,0.95
COAL_13170_GF,0.95
NUC_13170_GF,0.95
NG_CT_13197_GF,0.95
NG_CCGT_13197_GF,0.95
COAL_13197_GF,0.95
NUC_13197_GF,0.95
NG_CT_13056_GF,0.95
NG_CCGT_13056_GF,0.95
COAL_13056_GF,0.95
NUC_13056_GF,0.95
NG_CT_3063_GF,0.95
NG_CCGT_3063_GF,0.95
COAL_3063_GF,0.95
NUC_3063_GF,0.95
NG_CT_12733_GF,0.95
NG_CCGT_12733_GF,0.95
COAL_12733_GF,0.95
NUC_12733_GF,0.95
NG_CT_4177_GF,0.95
NG_CCGT_4177_GF,0.95
COAL_4177_GF,0.95
NUC_4177_GF,0.95
NG_CT_13185_GF,0.95
NG_CCGT_13185_GF,0.95
COAL_13185_GF,0.95
NUC_13185_GF,0.95
NG_CT_13043_GF,0.95
NG_CCGT_13043_GF,0.95
COAL_13043_GF,0.95
NUC_13043_GF,0.95
NG_CT_13017_GF,0.95
NG_CCGT_13017_GF,0.95
COAL_13017_GF,0.95
NUC_13017_GF,0.95
NG_CT_3074_GF,0.95
NG_CCGT_3074_GF,0.95
COAL_3074_GF,0.95
NUC_3074_GF,0.95
NG_CT_2091_GF,0.95
NG_CCGT_2091_GF,0.95
COAL_2091_GF,0.95
NUC_2091_GF,0.95
NG_CT_2089_GF,0.95
NG_CCGT_2089_GF,0.95
COAL_2089_GF,0.95
NUC_2089_GF,0.95
NG_CT_1023_GF,0.95
NG_CCGT_1023_GF,0.95
COAL_1023_GF,0.95
NUC_1023_GF,0.95
NG_CT_12966_GF,0.95
NG_CCGT_12966_GF,0.95
COAL_12966_GF,0.95
NUC_12966_GF,0.95
NG_CT_13014_GF,0.95
NG_CCGT_13014_GF,0.95
COAL_13014_GF,0.95
NUC_13014_GF,0.95
NG_CT_12940_GF,0.95
NG_CCGT_12940_GF,0.95
COAL_12940_GF,0.95
NUC_12940_GF,0.95
NG_CT_12773_GF,0.95
NG_CCGT_12773_GF,0.95
COAL_12773_GF,0.95
NUC_12773_GF,0.95
NG_CT_12802_GF,0.95
NG_CCGT_12802_GF,0.95
COAL_12802_GF,0.95
NUC_12802_GF,0.95
NG_CT_13058_GF,0.95
NG_CCGT_13058_GF,0.95
COAL_13058_GF,0.95
NUC_13058_GF,0.95
NG_CT_3086_GF,0.95
NG_CCGT_3086_GF,0.95
COAL_3086_GF,0.95
NUC_3086_GF,0.95
NG_CT_3087_GF,0.95
NG_CCGT_3087_GF,0.95
COAL_3087_GF,0.95
NUC_3087_GF,0.95
NG_CT_12809_GF,0.95
NG_CCGT_12809_GF,0.95
COAL_12809_GF,0.95
NUC_12809_GF,0.95
NG_CT_12815_GF,0.95
NG_CCGT_12815_GF,0.95
COAL_12815_GF,0.95
NUC_12815_GF,0.95
NG_CT_1066_GF,0.95
NG_CCGT_1066_GF,0.95
COAL_1066_GF,0.95
NUC_1066_GF,0.95
NG_CT_13352_GF,0.95
NG_CCGT_13352_GF,0.95
COAL_13352_GF,0.95
NUC_13352_GF,0.95
NG_CT_12959_GF,0.95
NG_CCGT_12959_GF,0.95
COAL_12959_GF,0.95
NUC_12959_GF,0.95
NG_CT_12908_GF,0.95
NG_CCGT_12908_GF,0.95
COAL_12908_GF,0.95
NUC_12908_GF,0.95
NG_CT_12756_GF,0.95
NG_CCGT_12756_GF,0.95
COAL_12756_GF,0.95
NUC_12756_GF,0.95
NG_CT_12899_GF,0.95
NG_CCGT_12899_GF,0.95
COAL_12899_GF,0.95
NUC_12899_GF,0.95
NG_CT_3098_GF,0.95
NG_CCGT_3098_GF,0.95
COAL_3098_GF,0.95
NUC_3098_GF,0.95
NG_CT_13362_GF,0.95
NG_CCGT_13362_GF,0.95
COAL_13362_GF,0.95
NUC_13362_GF,0.95
NG_CT_1021_GF,0.95
NG_CCGT_1021_GF,0.95
COAL_1021_GF,0.95
NUC_1021_GF,0.95
NG_CT_13360_GF,0.95
NG_CCGT_13360_GF,0.95
COAL_13360_GF,0.95
NUC_13360_GF,0.95
NG_CT_3112_GF,0.95
NG_CCGT_3112_GF,0.95
COAL_3112_GF,0.95
NUC_3112_GF,0.95
NG_CT_13160_GF,0.95
NG_CCGT_13160_GF,0.95
COAL_13160_GF,0.95
NUC_13160_GF,0.95
NG_CT_12845_GF,0.95
NG_CCGT_12845_GF,0.95
COAL_12845_GF,0.95
NUC_12845_GF,0.95
NG_CT_12938_GF,0.95
NG_CCGT_12938_GF,0.95
COAL_12938_GF,0.95
NUC_12938_GF,0.95
NG_CT_12856_GF,0.95
NG_CCGT_12856_GF,0.95
COAL_12856_GF,0.95
NUC_12856_GF,0.95
NG_CT_12859_GF,0.95
NG_CCGT_12859_GF,0.95
COAL_12859_GF,0.95
NUC_12859_GF,0.95
NG_CT_12839_GF,0.95
NG_CCGT_12839_GF,0.95
COAL_12839_GF,0.95
NUC_12839_GF,0.95
NG_CT_3095_GF,0.95
NG_CCGT_3095_GF,0.95
COAL_3095_GF,0.95
NUC_3095_GF,0.95
NG_CT_12812_GF,0.95
NG_CCGT_12812_GF,0.95
COAL_12812_GF,0.95
NUC_12812_GF,0.95
NG_CT_12800_GF,0.95
NG_CCGT_12800_GF,0.95
COAL_12800_GF,0.95
NUC_12800_GF,0.95
NG_CT_12977_GF,0.95
NG_CCGT_12977_GF,0.95
COAL_12977_GF,0.95
NUC_12977_GF,0.95
NG_CT_2071_GF,0.95
NG_CCGT_2071_GF,0.95
COAL_2071_GF,0.95
NUC_2071_GF,0.95
NG_CT_13005_GF,0.95
NG_CCGT_13005_GF,0.95
COAL_13005_GF,0.95
NUC_13005_GF,0.95
NG_CT_12957_GF,0.95
NG_CCGT_12957_GF,0.95
COAL_12957_GF,0.95
NUC_12957_GF,0.95
NG_CT_12941_GF,0.95
NG_CCGT_12941_GF,0.95
COAL_12941_GF,0.95
NUC_12941_GF,0.95
NG_CT_13372_GF,0.95
NG_CCGT_13372_GF,0.95
COAL_13372_GF,0.95
NUC_13372_GF,0.95
NG_CT_3039_GF,0.95
NG_CCGT_3039_GF,0.95
COAL_3039_GF,0.95
NUC_3039_GF,0.95
NG_CT_13062_GF,0.95
NG_CCGT_13062_GF,0.95
COAL_13062_GF,0.95
NUC_13062_GF,0.95
NG_CT_13049_GF,0.95
NG_CCGT_13049_GF,0.95
COAL_13049_GF,0.95
NUC_13049_GF,0.95
NG_CT_1042_GF,0.95
NG_CCGT_1042_GF,0.95
COAL_1042_GF,0.95
NUC_1042_GF,0.95
NG_CT_3034_GF,0.95
NG_CCGT_3034_GF,0.95
COAL_3034_GF,0.95
NUC_3034_GF,0.95
NG_CT_13350_GF,0.95
NG_CCGT_13350_GF,0.95
COAL_13350_GF,0.95
NUC_13350_GF,0.95
NG_CT_3071_GF,0.95
