Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Line_Loss_Percentage,Line_Voltage_kV,Line_Reactance_Ohms
107,37,123,118.0,0.0,2795.2693838927757,0.00411,1,0.02136
108,38,32,155.0,0.0,14030.07888530516,0.045,1,0.11
109,38,2511,145.9,0.0,5689.419338394487,0.01376,1,0.05108
110,40,85,149.0,0.0,9960.538396781538,0.0299,1,0.13329
111,40,95,111.7,0.0,4684.399761063118,0.00937,1,0.03923
112,40,103,135.0,0.0,3644.5570037213583,0.00905,1,0.04882
113,41,58,133.6,0.0,4085.9413267699388,0.00792,1,0.03565
114,41,62,98.0,0.0,2528.511118455542,0.00386,1,0.02203
115,41,64,149.0,0.0,614.8881229689214,0.00393,1,0.01722
116,41,64,119.1,0.0,769.2555022868959,0.00131,1,0.00628
117,41,101,127.0,0.0,3237.5672485933706,0.01197,1,0.04875
118,41,113,136.8,0.0,3230.7350569318082,0.00817,1,0.03658
119,41,2731,147.1,0.0,1854.7111532184942,0.00577,1,0.02157
120,41,2746,115.2,0.0,13208.435882346348,0.00919,1,0.04212
121,43,268,149.0,0.0,12391.654476096619,0.03857,1,0.17192
122,43,2144,239.2,0.0,3107.5908107695295,0.00639,1,0.02854
123,44,61,221.0,0.0,1994.382744051709,0.00545,1,0.03794
124,44,61,136.0,0.0,3240.8719590840274,0.0048,1,0.02087
125,44,2137,197.5,0.0,6742.359390697407,0.01035,1,0.04407
126,44,2137,197.5,0.0,6742.359390697407,0.01035,1,0.04407
127,45,258,149.0,0.0,18783.337392632337,0.05655,1,0.23454
128,45,2152,142.8,0.0,2820.2145111001064,0.00926,1,0.04658
129,46,13,292.0,0.0,2881.1435343181092,0.00947,1,0.06117
130,46,17,150.0,0.0,13221.320376869962,0.036,1,0.156
131,46,80,221.0,0.0,3636.431912797507,0.00947,1,0.06117
132,52,76,548.0,0.0,9903.178659945597,0.003,1,0.03
133,52,87,496.9,0.0,4907.20485195777,0.00289,1,0.02528
134,52,92,526.0,0.0,4315.637020842667,0.00238,1,0.02004
135,52,2166,742.6,0.0,4646.545799602435,0.00272,1,0.02604
136,52,2166,742.6,0.0,4646.545799602435,0.00272,1,0.02604
137,53,55,149.0,0.0,7342.873138652647,0.02202,1,0.09633
138,53,121,256.0,0.0,1586.6220812941722,0.00843,1,0.03162
139,53,121,256.0,0.0,1586.6220812941722,0.00843,1,0.03162
140,53,2067,264.0,0.0,1658.8756773893133,0.00347,1,0.02149
141,53,2324,212.0,0.0,4102.2132706801585,0.00691,1,0.03353
142,53,2324,212.0,0.0,4102.2132706801585,0.00691,1,0.03353
143,54,84,98.0,0.0,13061.806791979463,0.04984,1,0.12179
144,55,27,250.0,0.0,3247.3136361455086,0.0312,1,0.0763
145,55,58,150.0,0.0,9707.649556497685,0.02267,1,0.12946
146,55,62,250.0,0.0,5792.100482544001,0.02269,1,0.12962
147,55,125,117.9,0.0,3276.3581586584096,0.00666,1,0.03243
148,57,66,221.0,0.0,2732.4045624659107,0.0074,1,0.05155
149,57,82,221.0,0.0,5807.518908808288,0.01573,1,0.10956
150,57,82,221.0,0.0,5807.518908808288,0.01573,1,0.10956
151,58,64,112.3,0.0,5622.824194274182,0.00703,1,0.03099
152,58,97,122.5,0.0,3872.430709933794,0.011,1,0.04615
153,58,105,169.8,0.0,8548.093597737185,0.01443,1,0.06523
154,58,113,144.9,0.0,4433.029979741305,0.01316,1,0.0596
155,58,127,125.5,0.0,2284.7269472020344,0.00531,1,0.02199
156,58,291,221.0,0.0,12279.251876202516,0.054,1,0.18
157,58,2731,132.4,0.0,2238.063054293483,0.0019,1,0.00898
158,62,64,131.9,0.0,1871.403035304297,0.00635,1,0.02366
159,62,101,146.1,0.0,1305.8599899254166,0.00243,1,0.0139
160,62,113,130.7,0.0,5169.208650649499,0.01025,1,0.03819
161,62,2731,116.9,0.0,4198.990616913219,0.00814,1,0.03387
162,64,5,98.0,0.0,5812.653946664347,0.0171,1,0.04181
163,64,101,122.3,0.0,3069.324274823585,0.00658,1,0.03504
164,64,113,107.9,0.0,3992.051418737705,0.01007,1,0.0305
165,64,127,129.1,0.0,6351.1878856341655,0.00878,1,0.04138
166,64,2731,137.3,0.0,2536.2269650083263,0.00233,1,0.01163
167,65,16,98.0,0.0,17967.200408458262,0.02773,1,0.15837
168,66,57,221.0,0.0,2732.4045624659107,0.0074,1,0.05155
169,66,2216,132.7,0.0,11009.923327846931,0.01884,1,0.09831
170,66,2459,125.4,0.0,4637.264357817386,0.01445,1,0.05667
171,66,2683,122.4,0.0,3354.3242412277405,0.00565,1,0.0296
172,68,19,225.0,0.0,3960.9693450052073,0.0044,1,0.028
173,68,123,138.1,0.0,2635.0952904194205,0.00415,1,0.01914
174,76,116,1200.0,0.0,3169.618075825545,0.00188,1,0.0176
175,76,122,414.8,0.0,2084.4316657541644,0.00062,1,0.0061
176,76,304,548.0,0.0,18263.122250255947,0.0091,1,0.089
177,76,2032,387.3,0.0,7678.83461144571,0.00269,1,0.02251
178,76,2138,347.8,0.0,8393.365052193303,0.00272,1,0.02695
179,77,38,149.0,0.0,3704.6811904582664,0.01115,1,0.04969
180,77,66,149.0,0.0,7097.417992806421,0.02138,1,0.0952
181,77,2469,104.3,0.0,3834.2275933506758,0.00601,1,0.02576
182,78,30,98.0,0.0,42812.49876057875,0.06537,1,0.37334
183,78,38,221.0,0.0,4602.51984505462,0.01,1,0.05
184,78,2511,116.4,0.0,9525.189749734738,0.00993,1,0.04628
185,79,20,221.0,0.0,3067.355459396728,0.01056,1,0.06337
186,79,305,198.9,0.0,4992.248431084514,0.01259,1,0.06511
187,79,305,198.9,0.0,4992.248431084514,0.01259,1,0.06511
188,79,305,198.9,0.0,4992.248431084514,0.01259,1,0.06511
189,79,305,198.9,0.0,4992.248431084514,0.01259,1,0.06511
190,79,374,221.0,0.0,4589.3792351069,0.0205,1,0.09131
191,79,2491,230.7,0.0,6595.945307604713,0.02306,1,0.09639
192,79,2491,230.7,0.0,6595.945307604713,0.02306,1,0.09639
193,79,2491,230.7,0.0,6595.945307604713,0.02306,1,0.09639
194,79,2491,230.7,0.0,6595.945307604713,0.02306,1,0.09639
195,80,81,287.0,0.0,5850.308874577155,0.0339,1,0.14838
196,80,88,196.5,0.0,5907.580507926476,0.01083,1,0.0425
197,81,13,220.0,0.0,9226.175093885306,0.079,1,0.19311
198,81,2738,316.0,0.0,5395.7944443772185,0.01584,1,0.06421
199,81,2738,316.0,0.0,5395.7944443772185,0.01584,1,0.06421
200,82,45,149.0,0.0,10837.220458435935,0.03262,1,0.14269
201,83,36,114.0,0.0,11931.455089076057,0.02065,1,0.11793
202,83,65,220.0,0.0,7663.709514646843,0.02962,1,0.16921
203,83,1950,204.2,0.0,6287.022400963361,0.01136,1,0.07105
204,83,2349,131.5,0.0,2384.4955963157586,0.00588,1,0.02234
205,83,2462,200.8,0.0,1115.3079466764893,0.0023,1,0.01252
206,83,2533,241.0,0.0,947.3878606443043,0.0022,1,0.00988
207,83,2533,241.0,0.0,947.3878606443043,0.0022,1,0.00988
208,83,2536,127.9,0.0,2501.2542204725814,0.00582,1,0.02739
209,83,2540,140.9,0.0,1903.8062730294278,0.0057,1,0.03165
210,83,2737,124.8,0.0,2756.1301164476195,0.00842,1,0.03083
211,84,53,98.0,0.0,22905.222459612123,0.08734,1,0.21357
212,85,80,221.0,0.0,7452.47162458027,0.02019,1,0.13786
213,85,119,171.3,0.0,1737.0310557796643,0.00649,1,0.02757
214,86,172,187.0,0.0,15513.313271350504,0.02193,1,0.09667
215,87,92,452.1,0.0,3959.7383084552603,0.00241,1,0.0206
216,87,108,414.9,0.0,12844.837180320714,0.00541,1,0.05577
217,87,118,425.8,0.0,2527.7030552485303,0.00168,1,0.0151
218,87,2138,391.8,0.0,7502.927041275144,0.00251,1,0.02467
219,89,1969,2700.0,0.0,22626.72135568878,0.003,1,0.0501
220,90,106,423.8,0.0,5900.868164590259,0.00217,1,0.01933
221,90,106,423.8,0.0,5900.868164590259,0.00217,1,0.01933
222,90,116,476.9,0.0,3600.561432680098,0.00183,1,0.01698
223,90,116,476.9,0.0,3600.561432680098,0.00183,1,0.01698
224,90,1951,687.5,0.0,6445.874987735116,0.00513,1,0.04273
225,90,1951,687.5,0.0,6445.874987735116,0.00513,1,0.04273
226,90,1951,687.5,0.0,6445.874987735116,0.00513,1,0.04273
227,90,2145,608.0,0.0,7739.343401519271,0.00433,1,0.0378
228,90,2145,608.0,0.0,7739.343401519271,0.00433,1,0.0378
229,91,2441,216.0,0.0,2361.4657839794377,0.00814,1,0.03385
230,91,2491,145.6,0.0,3914.3905992941723,0.00977,1,0.04308
231,92,118,423.6,0.0,5204.255285648492,0.00231,1,0.01747
232,93,2736,109.2,0.0,682.772730669382,0.00088,1,0.00407
233,94,102,399.8,0.0,5421.508315568494,0.00158,1,0.01369
234,94,2156,463.0,0.0,4318.5253977060565,0.00219,1,0.01933
235,95,2496,275.0,0.0,3724.2269922072137,0.01506,1,0.06866
236,96,100,421.1,0.0,7057.089248587036,0.00203,1,0.01843
237,96,112,697.9,0.0,2791.130096345035,0.00174,1,0.01411
238,96,114,465.4,0.0,3173.4891399925855,0.00149,1,0.01301
239,96,126,623.0,0.0,838.338013454615,0.00064,1,0.00477
240,96,2125,657.0,0.0,5412.08980420246,0.0025,1,0.02328
241,96,2125,657.0,0.0,5412.08980420246,0.0025,1,0.02328
242,97,115,116.9,0.0,5819.160864787603,0.01295,1,0.04835
243,97,121,122.5,0.0,13094.121894726666,0.02173,1,0.09791
244,97,127,117.1,0.0,2054.290177117206,0.00279,1,0.01482
245,97,2746,145.4,0.0,3965.820520928385,0.00555,1,0.03158
246,98,2132,467.6,0.0,2517.5890551016437,0.00167,1,0.01539
247,99,2131,106.5,0.0,5002.549626524733,0.00675,1,0.03036
248,100,112,448.6,0.0,3855.1969031233325,0.00179,1,0.01793
249,100,120,493.2,0.0,8581.184984167496,0.00377,1,0.02929
250,100,126,394.7,0.0,6289.248512282607,0.00211,1,0.02
251,101,127,148.2,0.0,7714.879678913811,0.00905,1,0.03181
252,101,2731,108.6,0.0,6195.063478025015,0.00972,1,0.05345
253,102,108,443.3,0.0,6269.581170978534,0.00378,1,0.02613
254,102,2032,478.3,0.0,3056.2901798834014,0.0017,1,0.0164
255,102,2138,422.0,0.0,3586.819467891805,0.00152,1,0.0129
256,102,2156,470.6,0.0,2927.769041683853,0.00133,1,0.01311
257,103,2137,144.2,0.0,4816.503432773251,0.00744,1,0.0336
258,104,112,686.0,0.0,3090.359923185805,0.00177,1,0.01486
259,104,112,686.0,0.0,3090.359923185805,0.00177,1,0.01486
260,104,112,686.0,0.0,3090.359923185805,0.00177,1,0.01486
261,104,126,701.4,0.0,3932.9043174851818,0.00304,1,0.02746
262,105,113,130.4,0.0,7557.688559267955,0.02092,1,0.09639
263,105,2622,122.5,0.0,4403.564768899847,0.0128,1,0.05136
264,106,108,428.8,0.0,11303.105365115414,0.00355,1,0.03282
265,106,116,359.2,0.0,2278.1768217625477,0.00111,1,0.00948
266,106,1951,370.3,0.0,15188.539573138163,0.00648,1,0.05955
267,107,117,130.2,0.0,2848.1206251164735,0.00704,1,0.03175
268,107,2491,123.9,0.0,6363.420164843676,0.00338,1,0.01675
269,108,110,588.0,0.0,2914.093052664377,0.00174,1,0.01382
270,108,110,588.0,0.0,2914.093052664377,0.00174,1,0.01382
271,108,2032,638.0,0.0,2878.166424992486,0.00119,1,0.01137
272,108,2138,394.1,0.0,6146.416514833456,0.00233,1,0.01896
273,109,111,138.5,0.0,5698.262435457548,0.00579,1,0.0247
274,110,120,646.6,0.0,3737.3501732055356,0.00092,1,0.00876
275,110,124,466.6,0.0,3263.8028542097354,0.00155,1,0.01415
276,112,114,593.6,0.0,5086.925023884369,0.00263,1,0.02457
277,112,126,680.7,0.0,2130.1087104243743,0.00104,1,0.01012
278,113,2731,135.3,0.0,2966.5911056449913,0.0067,1,0.03256
279,114,120,420.9,0.0,4822.462397159923,0.00158,1,0.01438
280,114,124,414.8,0.0,6681.742331961423,0.00311,1,0.0312
281,114,126,472.5,0.0,3623.7785462435263,0.00154,1,0.0148
282,114,2068,773.6,0.0,1917.2018808675884,0.00105,1,0.01014
283,114,2125,529.9,0.0,6524.329624767152,0.00287,1,0.02491
284,116,1951,555.0,0.0,8979.182379466472,0.00447,1,0.04255
285,117,2491,129.6,0.0,4317.796193855193,0.00683,1,0.02324
286,118,122,385.0,0.0,7211.724608594022,0.00258,1,0.02583
287,118,2032,499.5,0.0,4981.87772192263,0.00269,1,0.01842
288,118,2138,505.7,0.0,3724.429166135263,0.00141,1,0.01439
289,120,124,445.8,0.0,2425.192621240335,0.00151,1,0.01432
290,120,2068,495.9,0.0,3653.3585865283994,0.00191,1,0.01887
291,121,125,163.0,0.0,3054.9926991048346,0.01451,1,0.04348
292,122,2032,386.3,0.0,6219.853437703898,0.0017,1,0.01709
293,122,2138,469.5,0.0,4719.316590494201,0.00256,1,0.02074
294,124,2068,402.7,0.0,7146.900223681056,0.00276,1,0.02687
295,126,2125,526.0,0.0,7752.28648437132,0.00375,1,0.03317
296,127,2731,97.6,0.0,4874.17034475854,0.00599,1,0.02706
297,129,218,2020.0,0.0,2124.1497986556647,0.00031,1,0.0037
298,130,162,251.0,0.0,2414.009793125327,0.00353,1,0.02067
299,130,171,310.0,0.0,1067.9961616987032,0.0013,1,0.0099
300,130,171,221.7,0.0,1493.364051089752,0.00184,1,0.01062
301,130,223,218.2,0.0,3633.4408336647357,0.00363,1,0.02224
302,131,181,213.8,0.0,2398.197495774611,0.00217,1,0.01527
303,131,231,251.0,0.0,6470.568703293444,0.00888,1,0.05207
304,131,239,187.0,0.0,5913.978564212169,0.00861,1,0.03661
305,132,176,187.0,0.0,12899.181845921796,0.01877,1,0.08271
306,132,2471,226.2,0.0,12708.494578983726,0.01344,1,0.07664
307,133,144,196.6,0.0,5150.411928437494,0.00307,1,0.01852
308,133,149,231.2,0.0,5766.164107669541,0.00345,1,0.02078
309,133,160,250.3,0.0,4042.417813369298,0.00351,1,0.02211
310,133,173,328.0,0.0,6550.322518194462,0.01224,1,0.07176
311,133,202,187.0,0.0,5049.484188335195,0.00735,1,0.03126
312,133,202,212.7,0.0,4439.367857163524,0.00411,1,0.02726
313,133,226,250.0,0.0,3726.283207294844,0.00725,1,0.03084
314,134,199,377.0,0.0,7411.6917665039155,0.02061,1,0.09083
315,134,211,187.0,0.0,18393.851734608877,0.02461,1,0.10467
316,134,2300,274.0,0.0,7373.898037417363,0.00217,1,0.0143
317,134,2300,274.0,0.0,7373.898037417363,0.00217,1,0.0143
318,134,2351,212.2,0.0,2883.587641768145,0.0028,1,0.01934
319,135,141,2007.2,0.0,1974.8402489590214,0.00014,1,0.00245
320,135,2194,2137.5,0.0,1379.1333563947799,0.00011,1,0.00168
321,136,165,187.0,0.0,9158.177774210135,0.01245,1,0.05297
322,136,176,187.0,0.0,13378.983935599836,0.02008,1,0.08851
323,136,240,251.0,0.0,5244.275371802661,0.00995,1,0.0423
324,136,2193,282.0,0.0,3119.5379080643465,0.00428,1,0.02403
325,136,2381,346.0,0.0,1419.7201240995516,0.00231,1,0.01314
326,136,2522,216.6,0.0,3562.8018812662353,0.00529,1,0.03137
327,138,132,187.0,0.0,15487.004245838101,0.02254,1,0.09931
328,138,153,187.0,0.0,11447.18153977565,0.01859,1,0.07908
329,138,2407,220.0,0.0,18361.932744380214,0.02045,1,0.12107
330,139,161,259.0,0.0,2897.961301697568,0.00862,1,0.03799
331,139,2652,211.3,0.0,5236.508978533991,0.00249,1,0.01732
332,141,214,2020.0,0.0,17287.80472245596,0.00253,1,0.03068
333,141,244,2020.0,0.0,6279.700948614717,0.00089,1,0.01081
334,142,213,263.0,0.0,6208.26548952126,0.01163,1,0.05125
335,144,149,238.4,0.0,2127.786814971692,0.00288,1,0.01742
336,144,152,251.7,0.0,3061.162031020705,0.00126,1,0.00756
337,144,160,229.7,0.0,1366.9604349672536,0.00088,1,0.00671
338,144,169,310.0,0.0,552.978157516968,0.00097,1,0.00548
339,144,179,409.0,0.0,624.6198348580082,0.00102,1,0.00744
340,144,188,228.2,0.0,3858.3439608439658,0.00476,1,0.03069
341,144,202,219.7,0.0,2711.3173032313744,0.00282,1,0.02001
342,144,226,230.7,0.0,4721.139907582065,0.00366,1,0.02241
343,145,129,2295.0,0.0,6023.978793132982,0.00097,1,0.01175
344,145,230,2020.0,0.0,717.3053785902418,0.0001,1,0.00124
345,146,128,187.0,0.0,4699.754370637677,0.00839,1,0.03697
346,146,164,187.0,0.0,14880.627608944736,0.02206,1,0.09391
347,146,231,204.0,0.0,2119.592036104468,0.00243,1,0.01514
348,146,2275,337.0,0.0,1788.0405077579717,0.00154,1,0.01047
349,146,2308,213.1,0.0,2545.519551638438,0.0023,1,0.0139
350,149,160,226.6,0.0,1425.5295625563126,0.00147,1,0.00697
351,149,169,250.6,0.0,2567.8976284244613,0.00284,1,0.01711
352,149,179,187.0,0.0,1584.9144551723284,0.0023,1,0.01016
353,149,179,218.9,0.0,1353.9470220065118,0.0014,1,0.00777
354,149,188,187.0,0.0,2182.549769899507,0.00317,1,0.014
355,149,202,194.1,0.0,2553.7214274468215,0.00146,1,0.00856
356,151,128,187.0,0.0,5907.939890735251,0.00955,1,0.04062
357,151,174,274.3,0.0,3498.3691768357917,0.00347,1,0.01831
358,151,210,187.0,0.0,10253.645924821012,0.01692,1,0.07455
359,151,231,262.2,0.0,6903.176012962454,0.00774,1,0.05432
360,151,2436,296.4,0.0,1757.6485743185283,0.00237,1,0.01439
361,152,169,251.0,0.0,2556.6560027164383,0.00363,1,0.02129
362,152,169,210.5,0.0,3048.5541885122375,0.00231,1,0.0143
363,152,226,250.0,0.0,5272.354468009357,0.01026,1,0.0452
364,153,86,187.0,0.0,26247.573534753763,0.0389,1,0.17144
365,153,1987,218.7,0.0,7640.0760874126745,0.00657,1,0.03871
366,153,2377,242.3,0.0,3047.508958628844,0.00408,1,0.02252
367,154,223,187.0,0.0,7774.1795349448985,0.0118,1,0.05199
368,155,172,218.0,0.0,13548.131621612341,0.02399,1,0.10567
369,155,207,207.0,0.0,13513.165752659002,0.02177,1,0.09259
370,156,231,187.0,0.0,7605.253059637552,0.01097,1,0.04834
371,157,223,326.0,0.0,3607.1993400312094,0.00506,1,0.02739
372,157,835,254.0,0.0,4429.131604202226,0.00925,1,0.03935
373,157,2590,212.6,0.0,3132.5554853013646,0.00279,1,0.01843
374,158,167,187.0,0.0,3016.1461114552885,0.00439,1,0.01867
375,158,167,223.8,0.0,2520.193578383105,0.0032,1,0.017
376,159,187,251.0,0.0,9949.392772397423,0.01411,1,0.08272
377,159,211,251.0,0.0,13796.383209300215,0.01863,1,0.10528
378,159,2300,208.4,0.0,8371.76325644057,0.00575,1,0.03174
379,160,169,191.2,0.0,2536.521242990858,0.00198,1,0.01278
380,160,173,326.0,0.0,9681.13001616307,0.01093,1,0.0734
381,160,173,326.0,0.0,9681.13001616307,0.01093,1,0.0734
382,160,179,300.0,0.0,1004.6089591434948,0.00216,1,0.0092
383,160,179,229.0,0.0,1316.0816058648402,0.00105,1,0.0064
384,160,188,232.9,0.0,2602.2532498608466,0.00316,1,0.0183
385,160,202,250.0,0.0,1211.98843780945,0.00236,1,0.01003
386,160,202,238.2,0.0,1272.028167306308,0.00093,1,0.00631
387,160,2363,297.0,0.0,8893.096427682427,0.01064,1,0.07085
388,161,186,287.0,0.0,3595.6950010023643,0.00415,1,0.02434
389,161,227,306.0,0.0,3146.4060589377355,0.00307,1,0.01798
390,161,227,306.0,0.0,3146.4060589377355,0.00307,1,0.01798
391,162,223,236.6,0.0,2495.034860776764,0.00218,1,0.01375
392,163,206,187.0,0.0,5808.846949074292,0.00845,1,0.03725
393,163,981,251.0,0.0,2609.270886934176,0.00371,1,0.02173
394,164,231,187.0,0.0,15753.255086785837,0.02335,1,0.09932
395,165,180,187.0,0.0,9347.124500309226,0.0136,1,0.05786
396,165,213,225.5,0.0,1403.5606524927346,0.00156,1,0.01018
397,165,240,211.5,0.0,5079.541647044454,0.00401,1,0.02333
398,165,2481,416.0,0.0,6066.673879646254,0.00741,1,0.03968
399,167,140,187.0,0.0,4076.0555579404004,0.00593,1,0.02614
