Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,region,cluster
NG_1050_1,49,2,0,0,64.0,-1,-1,100900.0,25700.0,6.94,9.772,TX_NG,0.641,0.1,0.9,TX,1
NG_4082_2,468,2,0,0,319.0,-1,-1,112900.0,33500.0,2.12,6.368,TX_NG,0.4,0.1,0.64,TX,1
NG_12549_1,1907,2,0,0,158.0,-1,-1,100900.0,25700.0,6.94,10.036,TX_NG,0.633,0.1,0.9,TX,1
NG_6164_1,1149,2,0,0,303.0,-1,-1,112900.0,33500.0,2.12,6.34,TX_NG,0.4,0.1,0.64,TX,1
NG_4077_1,463,2,0,0,177.0,-1,-1,100900.0,25700.0,6.94,10.088,TX_NG,0.395,0.1,0.9,TX,1
NG_2119_1,236,2,0,0,145.0,-1,-1,100900.0,25700.0,6.94,9.998,TX_NG,0.621,0.1,0.9,TX,1
NG_6165_1,1150,2,0,0,165.5,-1,-1,100900.0,25700.0,6.94,10.057,TX_NG,0.604,0.1,0.9,TX,1
NG_13253_2,2575,2,0,0,31.0,-1,-1,100900.0,25700.0,6.94,9.679,TX_NG,0.581,0.1,0.9,TX,1
NG_6167_1,1152,2,0,0,158.0,-1,-1,100900.0,25700.0,6.94,10.036,TX_NG,0.633,0.1,0.9,TX,1
NG_12562_1,1920,2,0,0,215.0,-1,-1,112900.0,33500.0,2.12,6.19,TX_NG,0.628,0.1,0.64,TX,1
NG_12563_1,1921,2,0,0,215.0,-1,-1,112900.0,33500.0,2.12,6.19,TX_NG,0.628,0.1,0.64,TX,1
NG_13253_1,2575,2,0,0,31.0,-1,-1,100900.0,25700.0,6.94,9.679,TX_NG,0.581,0.1,0.9,TX,1
NG_6175_4,1160,2,0,0,26.1,-1,-1,100900.0,25700.0,6.94,9.665,TX_NG,0.421,0.1,0.9,TX,1
NG_13287_3,2609,2,0,0,30.0,-1,-1,100900.0,25700.0,6.94,9.675,TX_NG,0.967,0.1,0.9,TX,1
NG_12537_2,1896,2,0,0,523.0,-1,-1,112900.0,33500.0,2.12,6.716,TX_NG,0.4,0.1,0.64,TX,1
NG_1077_1,74,2,0,0,158.2,-1,-1,100900.0,25700.0,6.94,10.036,TX_NG,0.602,0.1,0.9,TX,1
NG_6106_1,1099,2,0,0,44.0,-1,-1,100900.0,25700.0,6.94,9.715,TX_NG,0.3,0.1,0.9,TX,1
NG_13270_1,2592,2,0,0,42.0,-1,-1,100900.0,25700.0,6.94,9.709,TX_NG,0.595,0.1,0.9,TX,1
NG_4075_1,461,2,0,0,181.0,-1,-1,100900.0,25700.0,6.94,10.101,TX_NG,0.552,0.1,0.9,TX,1
NG_13296_6,2618,2,0,0,20.0,-1,-1,100900.0,25700.0,6.94,9.648,TX_NG,0.75,0.1,0.9,TX,1
NG_13287_2,2609,2,0,0,40.0,-1,-1,100900.0,25700.0,6.94,9.704,TX_NG,0.5,0.1,0.9,TX,1
NG_6105_1,1098,2,0,0,44.0,-1,-1,100900.0,25700.0,6.94,9.715,TX_NG,0.3,0.1,0.9,TX,1
NG_12530_5,1889,2,0,0,435.0,-1,-1,112900.0,33500.0,2.12,6.566,TX_NG,0.4,0.1,0.64,TX,1
NG_12529_4,1888,2,0,0,435.0,-1,-1,112900.0,33500.0,2.12,6.566,TX_NG,0.4,0.1,0.64,TX,1
NG_6104_1,1097,2,0,0,44.0,-1,-1,100900.0,25700.0,6.94,9.715,TX_NG,0.3,0.1,0.9,TX,1
NG_12527_1,1886,2,0,0,153.0,-1,-1,100900.0,25700.0,6.94,10.021,TX_NG,0.654,0.1,0.9,TX,1
NG_12526_1,1885,2,0,0,153.0,-1,-1,100900.0,25700.0,6.94,10.021,TX_NG,0.654,0.1,0.9,TX,1
NG_6101_1,1094,2,0,0,44.0,-1,-1,100900.0,25700.0,6.94,9.715,TX_NG,0.3,0.1,0.9,TX,1
NG_2117_1,234,2,0,0,153.0,-1,-1,100900.0,25700.0,6.94,10.021,TX_NG,0.588,0.1,0.9,TX,1
NG_12574_2,1932,2,0,0,31.0,-1,-1,100900.0,25700.0,6.94,9.679,TX_NG,1.0,0.1,0.9,TX,1
NG_1049_1,48,2,0,0,64.0,-1,-1,100900.0,25700.0,6.94,9.772,TX_NG,0.641,0.1,0.9,TX,1
NG_12517_1,1876,2,0,0,270.0,-1,-1,112900.0,33500.0,2.12,6.284,TX_NG,0.556,0.1,0.64,TX,1
NG_2116_1,233,2,0,0,204.0,-1,-1,112900.0,33500.0,2.12,6.171,TX_NG,0.4,0.1,0.64,TX,1
NG_1076_1,73,2,0,0,158.2,-1,-1,100900.0,25700.0,6.94,10.036,TX_NG,0.523,0.1,0.9,TX,1
NG_13410_1,2732,2,0,0,32.0,-1,-1,100900.0,25700.0,6.94,9.681,TX_NG,0.3,0.1,0.9,TX,1
NG_13296_9,2618,2,0,0,42.0,-1,-1,100900.0,25700.0,6.94,9.709,TX_NG,0.762,0.1,0.9,TX,1
NG_6074_1,1073,2,0,0,153.0,-1,-1,100900.0,25700.0,6.94,10.021,TX_NG,0.654,0.1,0.9,TX,1
NG_6073_1,1072,2,0,0,153.0,-1,-1,100900.0,25700.0,6.94,10.021,TX_NG,0.654,0.1,0.9,TX,1
NG_12508_U1,1867,2,0,0,165.0,-1,-1,100900.0,25700.0,6.94,10.055,TX_NG,0.545,0.1,0.9,TX,1
NG_6072_1,1071,2,0,0,160.0,-1,-1,100900.0,25700.0,6.94,10.042,TX_NG,0.3,0.1,0.9,TX,1
NG_2115_1,232,2,0,0,204.0,-1,-1,112900.0,33500.0,2.12,6.171,TX_NG,0.4,0.1,0.64,TX,1
NG_12506_1,1865,2,0,0,406.0,-1,-1,112900.0,33500.0,2.12,6.516,TX_NG,0.4,0.1,0.64,TX,1
NG_13312_2,2634,2,0,0,42.0,-1,-1,100900.0,25700.0,6.94,9.709,TX_NG,0.3,0.1,0.9,TX,1
NG_13312_1,2634,2,0,0,42.0,-1,-1,100900.0,25700.0,6.94,9.709,TX_NG,0.3,0.1,0.9,TX,1
NG_1075_1,72,2,0,0,166.7,-1,-1,100900.0,25700.0,6.94,10.061,TX_NG,0.553,0.1,0.9,TX,1
NG_6069_1,1068,2,0,0,197.0,-1,-1,100900.0,25700.0,6.94,10.145,TX_NG,0.705,0.1,0.9,TX,1
NG_8158_3,1856,2,0,0,47.1,-1,-1,100900.0,25700.0,6.94,9.723,TX_NG,0.3,0.1,0.9,TX,1
NG_4060_1,449,2,0,0,150.0,-1,-1,100900.0,25700.0,6.94,10.013,TX_NG,0.3,0.1,0.9,TX,1
NG_8158_2,1856,2,0,0,47.1,-1,-1,100900.0,25700.0,6.94,9.723,TX_NG,0.3,0.1,0.9,TX,1
NG_8152_7,1850,2,0,0,21.0,-1,-1,100900.0,25700.0,6.94,9.65,TX_NG,0.3,0.1,0.9,TX,1
NG_13417_1,2739,2,0,0,20.0,-1,-1,100900.0,25700.0,6.94,9.648,TX_NG,1.0,0.1,0.9,TX,1
NG_6008_2,1018,2,0,0,136.0,-1,-1,100900.0,25700.0,6.94,9.973,TX_NG,0.3,0.1,0.9,TX,1
NG_13126_6,2448,2,0,0,48.0,-1,-1,100900.0,25700.0,6.94,9.725,TX_NG,0.417,0.1,0.9,TX,1
NG_13126_5,2448,2,0,0,48.0,-1,-1,100900.0,25700.0,6.94,9.725,TX_NG,0.417,0.1,0.9,TX,1
NG_8139_2,1837,2,0,0,11.0,-1,-1,100900.0,25700.0,6.94,9.623,TX_NG,0.3,0.1,0.9,TX,1
NG_4059_1,448,2,0,0,155.0,-1,-1,100900.0,25700.0,6.94,10.028,TX_NG,0.3,0.1,0.9,TX,1
NG_13312_3,2634,2,0,0,16.0,-1,-1,100900.0,25700.0,6.94,9.637,TX_NG,0.3,0.1,0.9,TX,1
NG_8139_1,1837,2,0,0,32.4,-1,-1,100900.0,25700.0,6.94,9.683,TX_NG,0.833,0.1,0.9,TX,1
NG_8116_1,1818,2,0,0,167.0,-1,-1,100900.0,25700.0,6.94,10.061,TX_NG,0.3,0.1,0.9,TX,1
NG_6007_1,1017,2,0,0,136.0,-1,-1,100900.0,25700.0,6.94,9.973,TX_NG,0.3,0.1,0.9,TX,1
NG_8115_1,1817,2,0,0,502.0,-1,-1,112900.0,33500.0,2.12,6.68,TX_NG,0.4,0.1,0.64,TX,1
NG_6006_3,1016,2,0,0,335.0,-1,-1,112900.0,33500.0,2.12,6.395,TX_NG,0.4,0.1,0.64,TX,1
NG_4058_1,447,2,0,0,155.0,-1,-1,100900.0,25700.0,6.94,10.028,TX_NG,0.3,0.1,0.9,TX,1
NG_4052_1,441,2,0,0,32.5,-1,-1,100900.0,25700.0,6.94,9.683,TX_NG,0.554,0.1,0.9,TX,1
NG_8080_1,1783,2,0,0,146.0,-1,-1,100900.0,25700.0,6.94,10.002,TX_NG,0.616,0.1,0.9,TX,1
NG_8079_1,1782,2,0,0,146.0,-1,-1,100900.0,25700.0,6.94,10.002,TX_NG,0.616,0.1,0.9,TX,1
NG_8078_1,1781,2,0,0,148.0,-1,-1,100900.0,25700.0,6.94,10.007,TX_NG,0.608,0.1,0.9,TX,1
NG_1048_1,47,2,0,0,65.0,-1,-1,100900.0,25700.0,6.94,9.774,TX_NG,0.631,0.1,0.9,TX,1
NG_8051_1,1756,2,0,0,167.0,-1,-1,100900.0,25700.0,6.94,10.061,TX_NG,0.539,0.1,0.9,TX,1
NG_8050_1,1755,2,0,0,167.0,-1,-1,100900.0,25700.0,6.94,10.061,TX_NG,0.539,0.1,0.9,TX,1
NG_8049_1,1754,2,0,0,167.0,-1,-1,100900.0,25700.0,6.94,10.061,TX_NG,0.539,0.1,0.9,TX,1
NG_8046_1,1751,2,0,0,182.0,-1,-1,100900.0,25700.0,6.94,10.103,TX_NG,0.44,0.1,0.9,TX,1
NG_2103_1,220,2,0,0,287.0,-1,-1,112900.0,33500.0,2.12,6.313,TX_NG,0.523,0.1,0.64,TX,1
NG_7414_2,1691,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_7414_1,1691,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_12597_1,1954,2,0,0,204.0,-1,-1,112900.0,33500.0,2.12,6.171,TX_NG,0.735,0.1,0.64,TX,1
NG_4035_1,424,2,0,0,33.0,-1,-1,100900.0,25700.0,6.94,9.683,TX_NG,0.788,0.1,0.9,TX,1
NG_7400_81,1677,2,0,0,53.0,-1,-1,100900.0,25700.0,6.94,9.74,TX_NG,0.566,0.1,0.9,TX,1
NG_7400_74,1677,2,0,0,53.0,-1,-1,100900.0,25700.0,6.94,9.74,TX_NG,0.566,0.1,0.9,TX,1
NG_5326_7,866,2,0,0,118.0,-1,-1,100900.0,25700.0,6.94,9.923,TX_NG,0.3,0.1,0.9,TX,1
NG_1073_1,70,2,0,0,206.0,-1,-1,112900.0,33500.0,2.12,6.175,TX_NG,0.4,0.1,0.64,TX,1
NG_5325_6,865,2,0,0,122.0,-1,-1,100900.0,25700.0,6.94,9.935,TX_NG,0.3,0.1,0.9,TX,1
NG_7392_1,1669,2,0,0,12.3,-1,-1,100900.0,25700.0,6.94,9.627,TX_NG,0.894,0.1,0.9,TX,1
NG_5324_8,864,2,0,0,568.0,-1,-1,112900.0,33500.0,2.12,6.792,TX_NG,0.4,0.1,0.64,TX,1
NG_12994_1,2316,2,0,0,50.0,-1,-1,100900.0,25700.0,6.94,9.732,TX_NG,0.3,0.1,0.9,TX,1
NG_7357_1,1644,2,0,0,13.0,-1,-1,100900.0,25700.0,6.94,9.629,TX_NG,0.3,0.1,0.9,TX,1
NG_7353_4,1640,2,0,0,552.0,-1,-1,112900.0,33500.0,2.12,6.766,TX_NG,0.4,0.1,0.64,TX,1
NG_1072_1,69,2,0,0,206.0,-1,-1,112900.0,33500.0,2.12,6.175,TX_NG,0.4,0.1,0.64,TX,1
NG_6233_3,1216,2,0,0,52.0,-1,-1,100900.0,25700.0,6.94,9.738,TX_NG,0.942,0.1,0.9,TX,1
NG_6182_1,1167,2,0,0,46.0,-1,-1,100900.0,25700.0,6.94,9.721,TX_NG,0.435,0.1,0.9,TX,1
NG_12958_1,2280,2,0,0,76.0,-1,-1,100900.0,25700.0,6.94,9.805,TX_NG,0.526,0.1,0.9,TX,1
NG_5282_1,829,2,0,0,326.0,-1,-1,112900.0,33500.0,2.12,6.38,TX_NG,0.4,0.1,0.64,TX,1
NG_2085_1,205,2,0,0,19.7,-1,-1,100900.0,25700.0,6.94,9.648,TX_NG,0.3,0.1,0.9,TX,1
NG_13356_2,2678,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_13356_1,2678,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_7307_1,1596,2,0,0,478.4,-1,-1,112900.0,33500.0,2.12,6.64,TX_NG,0.4,0.1,0.64,TX,1
NG_13357_2,2679,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_2084_1,204,2,0,0,19.7,-1,-1,100900.0,25700.0,6.94,9.648,TX_NG,0.3,0.1,0.9,TX,1
NG_13357_1,2679,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.744,0.1,0.9,TX,1
NG_13355_2,2677,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.465,0.1,0.9,TX,1
NG_5207_1,755,2,0,0,290.5,-1,-1,112900.0,33500.0,2.12,6.319,TX_NG,0.4,0.1,0.64,TX,1
NG_7184_8,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_2083_1,203,2,0,0,19.7,-1,-1,100900.0,25700.0,6.94,9.648,TX_NG,0.3,0.1,0.9,TX,1
NG_13358_2,2680,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.791,0.1,0.9,TX,1
NG_7184_7,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_6,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_5,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_4,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_3,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_2,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7184_1,1492,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.506,0.1,0.9,TX,1
NG_7170_31,1478,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_2082_1,202,2,0,0,17.0,-1,-1,100900.0,25700.0,6.94,9.639,TX_NG,0.3,0.1,0.9,TX,1
NG_13355_1,2677,2,0,0,43.0,-1,-1,100900.0,25700.0,6.94,9.713,TX_NG,0.465,0.1,0.9,TX,1
NG_7169_56,1477,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.679,0.1,0.9,TX,1
NG_7168_55,1476,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.75,0.1,0.9,TX,1
NG_7167_54,1475,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.857,0.1,0.9,TX,1
NG_12862_1,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12861_6,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_7166_53,1474,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.75,0.1,0.9,TX,1
NG_12861_5,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12861_4,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_7165_52,1473,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.679,0.1,0.9,TX,1
NG_12861_3,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12861_2,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_7164_51,1472,2,0,0,56.0,-1,-1,100900.0,25700.0,6.94,9.748,TX_NG,0.714,0.1,0.9,TX,1
NG_12861_1,2188,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12862_2,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12862_3,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12862_4,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12862_5,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_12862_6,2189,2,0,0,44.6,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.504,0.1,0.9,TX,1
NG_7159_8,1467,2,0,0,14.0,-1,-1,100900.0,25700.0,6.94,9.631,TX_NG,0.357,0.1,0.9,TX,1
NG_7159_44,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_43,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_42,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_41,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_34,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_33,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7159_32,1467,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,0.981,0.1,0.9,TX,1
NG_7144_1,1453,2,0,0,35.0,-1,-1,100900.0,25700.0,6.94,9.69,TX_NG,0.3,0.1,0.9,TX,1
NG_12806_1,2140,2,0,0,150.0,-1,-1,100900.0,25700.0,6.94,10.013,TX_NG,0.5,0.1,0.9,TX,1
NG_7137_1,1451,2,0,0,29.0,-1,-1,100900.0,25700.0,6.94,9.673,TX_NG,0.862,0.1,0.9,TX,1
NG_12805_1,2139,2,0,0,150.0,-1,-1,100900.0,25700.0,6.94,10.013,TX_NG,0.5,0.1,0.9,TX,1
NG_7136_1,1450,2,0,0,29.0,-1,-1,100900.0,25700.0,6.94,9.673,TX_NG,0.862,0.1,0.9,TX,1
NG_7135_1,1449,2,0,0,29.0,-1,-1,100900.0,25700.0,6.94,9.673,TX_NG,0.862,0.1,0.9,TX,1
NG_7133_1,1447,2,0,0,140.0,-1,-1,100900.0,25700.0,6.94,9.986,TX_NG,0.571,0.1,0.9,TX,1
NG_6277_G1,1245,2,0,0,18.4,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_1063_1,60,2,0,0,71.0,-1,-1,100900.0,25700.0,6.94,9.79,TX_NG,0.634,0.1,0.9,TX,1
NG_5012_9,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_5012_8,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_12761_6,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_12761_5,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_12761_4,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_12761_3,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_12761_2,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_5012_7,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_12761_1,2107,2,0,0,54.0,-1,-1,100900.0,25700.0,6.94,9.744,TX_NG,1.0,0.1,0.9,TX,1
NG_5012_6,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_5012_5,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_8,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_7,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_6,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_5012_4,578,2,0,0,18.8,-1,-1,100900.0,25700.0,6.94,9.644,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_5,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_12961_6,2283,2,0,0,235.0,-1,-1,112900.0,33500.0,2.12,6.224,TX_NG,0.4,0.1,0.64,TX,1
NG_12743_4,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_3,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
NG_12743_2,2091,2,0,0,44.5,-1,-1,100900.0,25700.0,6.94,9.717,TX_NG,0.3,0.1,0.9,TX,1
