Branch
Nom kV (Max),From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),MW Loss
115.0,13158,BLACKWELL 1 3,13157,BLACKWELL 1 1,1,Closed,Transformer,YES,169.5,209.1,81.6,0.37
161.0,5244,FORT WORTH 22 0,5306,ALEDO 2 0,1,Closed,Line,NO,-226.0,283.0,81.6,3.66
500.0,12884,FLOYDADA 1 3,12883,FLOYDADA 1 500,1,Closed,Transformer,YES,257.0,321.0,81.6,0.29
161.0,2065,GAINESVILLE 0,2044,WHITESBORO 0,1,Closed,Line,NO,152.2,187.0,81.6,2.24
115.0,13345,LAREDO 5 3,4190,LAREDO 5 0,1,Closed,Transformer,YES,100.0,122.6,81.6,0.27
161.0,13263,MUENSTER 2 3,2110,MUENSTER 2 0,1,Closed,Transformer,YES,125.0,154.2,81.6,0.59
230.0,3046,ROSCOE 5 0,3078,HERMLEIGH 0,1,Closed,Line,NO,-649.4,820.0,81.5,13.38
161.0,5285,CHICO 0,2053,BOWIE 0,1,Closed,Line,NO,-228.7,291.0,81.4,4.22
115.0,3025,SAN SABA 0,3101,BUCHANAN DAM 2 0,1,Closed,Line,NO,116.9,149.0,81.3,4.09
115.0,3120,BRACKETTVILLE 1 1,3119,BRACKETTVILLE 1 0,1,Closed,Transformer,YES,100.0,123.1,81.3,0.18
230.0,3047,ROSCOE 5 1,3046,ROSCOE 5 0,1,Closed,Transformer,YES,288.3,355.0,81.3,2.65
161.0,12590,RIESEL 3 1,12926,RIESEL 4 1,1,Closed,Line,NO,-169.7,209.6,81.3,0.21
230.0,12792,BIG LAKE 3,12791,BIG LAKE 230,1,Closed,Transformer,YES,302.4,380.5,81.3,0.58
230.0,12671,ODESSA 2 6,12667,ODESSA 2 230,1,Closed,Transformer,YES,70.0,88.5,81.2,0.24
115.0,1066,BIG SPRING 3 1,1065,BIG SPRING 3 0,1,Closed,Transformer,YES,142.5,179.1,81.1,0.47
161.0,12675,PATTONVILLE 3,2050,PATTONVILLE 0,1,Closed,Transformer,YES,471.0,585.9,81.1,0.91
115.0,12985,TBD 1 3,12984,TBD 1 1,1,Closed,Transformer,YES,223.9,276.8,81.1,0.23
115.0,13362,IRAAN 5 3,13361,IRAAN 5 1,1,Closed,Transformer,YES,82.5,102.7,81.0,0.39
115.0,1014,GRANDFALLS 0,13186,FORT STOCKTON 9 1,1,Closed,Line,NO,-198.9,251.0,80.9,3.68
115.0,13132,SARITA 4 3,13131,SARITA 4 1,1,Closed,Transformer,YES,188.0,233.0,80.9,0.52
115.0,13130,GOLDSMITH 3,1090,GOLDSMITH 0,1,Closed,Transformer,YES,92.5,116.2,80.8,0.72
115.0,8136,YANTIS 0,8145,COMO 0,1,Closed,Line,NO,-128.9,166.0,80.8,1.83
115.0,12878,VAN HORN 1 3,12876,VAN HORN 1 1,1,Closed,Transformer,YES,260.0,323.9,80.7,0.29
161.0,2042,PANHANDLE 3 1,2041,PANHANDLE 3 0,1,Closed,Transformer,YES,79.6,99.0,80.6,0.26
115.0,13072,WINGATE 1 3,13071,WINGATE 1 1,1,Closed,Transformer,YES,200.0,249.8,80.6,0.94
230.0,1096,IND W TWFV 1_230,12594,RANKIN 1 230,3,Closed,Line,NO,-537.7,687.5,80.5,15.43
230.0,1096,IND W TWFV 1_230,12594,RANKIN 1 230,1,Closed,Line,NO,-537.7,687.5,80.5,15.43
230.0,1096,IND W TWFV 1_230,12594,RANKIN 1 230,2,Closed,Line,NO,-537.7,687.5,80.5,15.43
115.0,7223,HOUSTON 76 0,7425,HOUSTON 86 0,1,Closed,Line,NO,176.9,221.0,80.4,1.73
161.0,12754,TRUSCOTT 1 1,12937,TRUSCOTT 2 1,1,Closed,Line,NO,-296.2,371.0,80.4,1.29
115.0,1088,MCCAMEY 2 0,13027,CRANE 1 1,1,Closed,Line,NO,-104.0,131.5,80.3,0.64
161.0,13368,MIDLOTHIAN 2 3,5269,MIDLOTHIAN 2 0,1,Closed,Transformer,YES,80.0,99.8,80.2,0.13
161.0,2053,BOWIE 0,2088,ARCHER 1 0,1,Closed,Line,NO,-274.2,352.9,80.1,8.10
115.0,1047,MONAHANS 1 0,1017,ODESSA 4 0,1,Closed,Line,NO,120.1,150.0,80.1,4.80
115.0,3130,SAN ANGELO 3 0,13280,STERLING 1 1,1,Closed,Line,NO,-174.4,220.0,80.0,1.35
115.0,12917,CUNNINGHAM 2 3,12916,CUNNINGHAM 2 1,1,Closed,Transformer,YES,250.0,313.4,80.0,2.43
115.0,13062,RIO GRANDE CITY 1 3,13061,RIO GRANDE CITY 1 1,1,Closed,Transformer,YES,200.0,250.8,79.9,1.02
115.0,12952,ROSEBUD 1 3,12951,ROSEBUD 1 1,1,Closed,Transformer,YES,240.0,302.2,79.7,1.16
500.0,12756,TRUSCOTT 1 3,12755,TRUSCOTT 1 500,1,Closed,Transformer,YES,336.0,431.4,79.6,0.40
115.0,3074,BRACKETTVILLE 2 1,3073,BRACKETTVILLE 2 0,1,Closed,Transformer,YES,99.8,128.3,79.5,0.50
230.0,13323,MISSION 4 3,4039,MISSION 4 0,1,Closed,Transformer,YES,100.0,126.0,79.5,0.26
115.0,3112,STERLING CITY 2 1,3111,STERLING CITY 2 0,1,Closed,Transformer,YES,80.0,102.9,79.5,0.25
115.0,3108,KEMPNER 0,6065,BERTRAM 0,1,Closed,Line,NO,77.6,98.0,79.4,1.23
500.0,12692,OLD OCEAN 1 3,12691,OLD OCEAN 1 500,1,Closed,Transformer,YES,109.0,137.9,79.4,0.10
115.0,12740,INGLESIDE 4,4108,INGLESIDE 0,1,Closed,Transformer,YES,140.0,177.1,79.3,0.38
161.0,13086,AFTON 1 3,13085,AFTON 1 1,1,Closed,Transformer,YES,200.0,252.8,79.3,0.48
161.0,5098,FORT WORTH 24 0,5453,CLEBURNE 1 0,1,Closed,Line,NO,-234.4,310.0,79.1,3.01
230.0,13050,TAFT 1 3,4181,TAFT 1 0,1,Closed,Transformer,YES,200.1,253.9,79.1,0.22
115.0,1039,FORT STOCKTON 1 1,1038,FORT STOCKTON 1 0,1,Closed,Transformer,YES,132.0,167.4,79.0,1.17
115.0,13386,DEL RIO 2 3,13385,DEL RIO 2 1,1,Closed,Transformer,YES,70.0,88.6,79.0,0.49
115.0,3086,LORAINE 1 1,3085,LORAINE 1 0,1,Closed,Transformer,YES,75.0,95.2,79.0,0.59
161.0,13136,VERNON 3 3,13135,VERNON 3 1,1,Closed,Transformer,YES,183.8,233.7,78.9,0.44
161.0,5211,HUBBARD 0,5327,MOUNT CALM 0,1,Closed,Line,NO,-195.7,251.0,78.8,1.54
230.0,12812,BIG LAKE 1 3,12811,BIG LAKE 1 230,1,Closed,Transformer,YES,300.0,389.1,78.8,0.18
115.0,12816,BRUNI 3 1,13067,MIRANDO 1 1,1,Closed,Line,NO,113.9,146.4,78.6,1.88
115.0,12959,EDINBURG 3 3,4003,EDINBURG 3 0,1,Closed,Transformer,YES,238.5,307.7,78.6,0.46
115.0,12971,RAYMONDVILLE 1 3,12970,RAYMONDVILLE 1 1,1,Closed,Transformer,YES,228.0,290.9,78.5,0.72
500.0,2023,PARIS 2 2,2021,PARIS 2 0,1,Closed,Transformer,YES,87.0,111.7,78.5,0.08
115.0,1035,BIG SPRING 4 1,1034,BIG SPRING 4 0,1,Closed,Transformer,YES,89.5,116.7,78.4,0.11
230.0,8099,CUSHING 1 2,8097,CUSHING 1 0,1,Closed,Transformer,YES,100.0,128.7,78.4,0.19
161.0,5291,FORT WORTH 25 0,5332,FORT WORTH 16 0,1,Closed,Line,NO,193.3,258.0,78.2,0.34
115.0,13107,BURLINGTON 1 3,13106,BURLINGTON 1 1,1,Closed,Transformer,YES,200.0,255.7,78.2,0.32
115.0,3122,ROSCOE 1 1,3121,ROSCOE 1 0,1,Closed,Transformer,YES,197.0,255.9,78.1,0.25
115.0,13212,MCCAMEY 3 3,13211,MCCAMEY 3 1,1,Closed,Transformer,YES,150.0,193.0,78.1,0.59
230.0,12909,IND W TWFV 0 3,1093,IND W TWFV 0_230,1,Closed,Transformer,YES,250.0,320.8,78.1,0.28
500.0,12545,VAN VLECK 3,12544,VAN VLECK 500,1,Closed,Transformer,YES,510.0,654.4,78.1,0.38
115.0,12921,WORTHAM 3,8091,WORTHAM 0,1,Closed,Transformer,YES,250.0,321.0,78.0,0.96
161.0,5456,GORMAN 0,5156,May-00,1,Closed,Line,NO,223.9,295.0,78.0,3.32
230.0,12720,GAIL 1 3,12719,GAIL 1 230,1,Closed,Transformer,YES,400.0,515.4,77.8,1.95
161.0,13383,CLIFTON 3 3,13382,CLIFTON 3 1,1,Closed,Transformer,YES,71.4,91.8,77.8,0.34
115.0,1057,LENORAH 1,1056,LENORAH 0,1,Closed,Transformer,YES,120.0,155.3,77.7,0.51
230.0,12855,MCCAMEY 2 230,12594,RANKIN 1 230,3,Closed,Line,NO,463.8,597.6,77.6,4.63
230.0,12855,MCCAMEY 2 230,12594,RANKIN 1 230,2,Closed,Line,NO,463.8,597.6,77.6,4.63
230.0,12855,MCCAMEY 2 230,12594,RANKIN 1 230,1,Closed,Line,NO,463.8,597.6,77.6,4.63
115.0,7092,HOUSTON 47 0,7384,HOUSTON 44 0,1,Closed,Line,NO,-85.1,110.0,77.6,0.25
115.0,12969,TRINIDAD 2 4,8065,TRINIDAD 2 0,1,Closed,Transformer,YES,76.8,99.1,77.5,0.35
115.0,7183,HOUSTON 77 0,7386,HOUSTON 71 0,1,Closed,Line,NO,-124.5,300.0,77.5,0.51
115.0,13084,CARRIZO SPRINGS 1 3,13083,CARRIZO SPRINGS 1 1,1,Closed,Transformer,YES,200.0,258.0,77.5,0.30
161.0,13201,PANHANDLE 7 3,13200,PANHANDLE 7 1,1,Closed,Transformer,YES,150.0,194.1,77.5,0.14
115.0,12911,PAINT ROCK 1 3,12910,PAINT ROCK 1 1,1,Closed,Transformer,YES,250.0,322.9,77.5,0.71
161.0,12786,HASKELL 1 4,12783,HASKELL 1 1,1,Closed,Transformer,YES,77.6,100.7,77.5,0.12
115.0,1052,MONAHANS 1 5,1047,MONAHANS 1 0,1,Closed,Transformer,YES,63.0,81.4,77.4,0.47
230.0,4116,LAREDO 1 3,4113,LAREDO 1 0,1,Closed,Transformer,YES,87.3,114.5,77.4,0.32
161.0,2112,PETROLIA 0,2028,WICHITA FALLS 3 0,1,Closed,Line,NO,-236.6,310.0,77.3,2.03
115.0,1069,IRAAN 1 0,13361,IRAAN 5 1,1,Closed,Line,NO,-93.9,122.4,77.3,0.48
115.0,13088,FORT STOCKTON 5 3,13087,FORT STOCKTON 5 1,1,Closed,Transformer,YES,200.0,258.9,77.2,0.95
115.0,4103,EDINBURG 1 0,12906,MCCOOK 1 1,2,Closed,Line,NO,-140.3,185.0,77.1,2.07
115.0,4103,EDINBURG 1 0,12906,MCCOOK 1 1,1,Closed,Line,NO,-140.3,185.0,77.1,2.07
115.0,12947,FULSHEAR 3,7237,FULSHEAR 0,1,Closed,Transformer,YES,240.0,313.0,77.0,1.36
161.0,5075,EVANT 0,5377,KILLEEN 2 0,1,Closed,Line,NO,144.0,187.0,77.0,4.82
230.0,12892,GRANDFALLS 3,12891,GRANDFALLS 230,1,Closed,Transformer,YES,255.0,331.3,77.0,0.84
161.0,5100,DALLAS 11 0,5272,DALLAS 16 0,1,Closed,Line,NO,153.8,204.2,76.9,0.24
500.0,7165,HOUSTON 5 6,7159,HOUSTON 5 0,1,Closed,Transformer,YES,56.0,73.6,76.9,0.07
115.0,13223,HASKELL 3 3,13222,HASKELL 3 1,1,Closed,Transformer,YES,150.0,195.1,76.9,0.58
161.0,2126,VALLEY VIEW 0,13390,GAINSVILLE 2 1,1,Closed,Line,NO,-183.8,245.9,76.9,0.26
115.0,13215,CRANE 2 3,13214,CRANE 2 1,1,Closed,Transformer,YES,150.0,195.9,76.9,0.89
115.0,6207,LEANDER 2 0,6282,SPICEWOOD 0,1,Closed,Line,NO,-115.2,165.0,76.8,1.61
115.0,13076,RIO GRANDE CITY 3 3,13075,RIO GRANDE CITY 3 1,1,Closed,Transformer,YES,200.0,260.6,76.8,1.84
500.0,12701,LA MARQUE 4,12699,LA MARQUE 500,1,Closed,Transformer,YES,92.0,120.1,76.7,0.22
500.0,7168,HOUSTON 5 9,7159,HOUSTON 5 0,1,Closed,Transformer,YES,56.0,81.9,76.7,0.03
230.0,3098,FLUVANNA 2 2,3096,FLUVANNA 2 0,1,Closed,Transformer,YES,182.4,241.7,76.7,0.51
115.0,3003,SWEETWATER 4 0,3103,SWEETWATER 5 0,1,Closed,Line,NO,168.5,220.0,76.7,2.87
115.0,13187,FORT STOCKTON 9 3,13186,FORT STOCKTON 9 1,1,Closed,Transformer,YES,157.5,205.9,76.6,1.44
500.0,12848,NAZARETH 1 3,12847,NAZARETH 1 500,1,Closed,Transformer,YES,288.0,378.5,76.6,0.69
115.0,12957,SINTON 3,4037,SINTON 0,1,Closed,Transformer,YES,239.6,313.6,76.5,0.71
115.0,3067,TRENT 1 0,3070,NOLAN 0,1,Closed,Line,NO,87.2,114.0,76.5,0.85
500.0,12677,THROCKMORTON 3,12676,THROCKMORTON 500,1,Closed,Transformer,YES,350.2,468.1,76.5,0.49
115.0,12893,FORT STOCKTON 4 1,13371,GIRVIN 2 1,1,Closed,Line,NO,-120.3,158.8,76.4,1.03
115.0,12609,ROBERT LEE 1 3,12607,ROBERT LEE 1 1,1,Closed,Transformer,YES,525.0,702.4,76.4,0.54
115.0,13344,SAN ANTONIO 16 3,6284,SAN ANTONIO 16 0,1,Closed,Transformer,YES,100.0,131.0,76.3,0.79
500.0,5045,STEPHENVILLE 0,5479,BURLESON 0,1,Closed,Line,NO,1494.0,1965.6,76.3,10.58
115.0,3095,MERKEL 2 1,3094,MERKEL 2 0,1,Closed,Transformer,YES,120.6,161.7,76.3,0.22
115.0,3117,SYNDER 1,3116,SYNDER 0,1,Closed,Transformer,YES,120.0,158.6,76.2,0.23
161.0,5085,DALLAS 38 0,5353,DUNCANVILLE 2 0,1,Closed,Line,NO,-129.6,191.3,76.2,0.22
161.0,5113,KRUM 0,5195,ARGYLE 0,1,Closed,Line,NO,186.0,251.0,76.2,2.37
230.0,1123,IND W TWFV 14_230,12594,RANKIN 1 230,1,Closed,Line,NO,-414.7,555.0,76.1,7.84
500.0,5047,MANSFIELD 0,5448,GRAND PRAIRIE 3 0,1,Closed,Line,NO,1542.2,2034.0,76.1,3.02
161.0,13150,CLARENDON 1 3,13149,CLARENDON 1 1,1,Closed,Transformer,YES,174.0,230.4,76.1,0.23
500.0,7169,HOUSTON 5 10,7159,HOUSTON 5 0,1,Closed,Transformer,YES,56.0,75.2,76.0,0.04
115.0,1026,BIG SPRINGS 1,1025,BIG SPRINGS 0,1,Closed,Transformer,YES,124.2,166.4,75.9,0.48
161.0,5203,DALLAS 35 0,5465,FRISCO 2 1,1,Closed,Line,NO,-178.5,237.0,75.9,0.89
115.0,4144,ORANGE GROVE 0,13256,JIM WELLS 1 1,1,Closed,Line,NO,-129.6,172.3,75.9,1.17
500.0,5021,ALEDO 1 0,5055,GRAHAM 0,1,Closed,Line,NO,-1810.3,2419.1,75.9,25.22
500.0,7160,HOUSTON 5 1,7159,HOUSTON 5 0,1,Closed,Transformer,YES,-986.4,1310.0,75.9,0.93
161.0,13060,GROOM 1 3,13059,GROOM 1 1,1,Closed,Transformer,YES,200.0,264.1,75.9,0.64
115.0,13082,LAREDO 3 3,4101,LAREDO 3 0,1,Closed,Transformer,YES,200.0,263.7,75.8,0.68
115.0,7155,HOUSTON 52 0,7316,HOUSTON 38 0,1,Closed,Line,NO,-111.4,149.0,75.8,0.88
161.0,5217,NORTH RICHLAND HILLS 2 0,5433,FORT WORTH 3 0,1,Closed,Line,NO,-198.1,279.0,75.8,1.88
115.0,13246,SWEETWATER 2 3,3127,SWEETWATER 2 0,1,Closed,Transformer,YES,144.0,190.5,75.7,0.78
230.0,12666,SNYDER 4 4,12664,SNYDER 4 230,1,Closed,Transformer,YES,160.0,211.7,75.7,0.30
161.0,13047,CHILICOTHE 1 3,13046,CHILICOTHE 1 1,1,Closed,Transformer,YES,200.2,264.8,75.7,0.52
230.0,12673,ODESSA 2 8,12667,ODESSA 2 230,1,Closed,Transformer,YES,68.0,91.3,75.6,0.26
230.0,12899,SNYDER 5 3,12898,SNYDER 5 230,1,Closed,Transformer,YES,253.0,342.2,75.6,0.23
161.0,5006,DALLAS 24 0,5103,RICHARDSON 2 1,1,Closed,Line,NO,-153.2,205.0,75.6,0.30
