# of AC Lines,PU Volt,Number,Name,Area Name,Nom kV,Angle (Deg),Load MW,Gen MW,Act G Shunt MW,Area Num,Longitude,Latitude,Zone Num
11,1.0175,1067,BIG SPRING 7 0,Far West,115.00,51.38,101.55,58.80,0.00,1,-101.383950,32.120785,1
2,1.0200,1068,MIDLAND 1 0,Far West,115.00,58.90,80.94,,0.00,1,-101.914407,31.515173,1
7,1.0241,1069,IRAAN 1 0,Far West,115.00,74.09,,,0.00,1,-102.083100,30.915329,1
0,1.0241,1070,IRAAN 1 1,Far West,13.80,74.09,,0.00,0.00,1,-102.085260,30.906372,1
10,1.0171,1071,ODESSA 1 0,Far West,115.00,54.80,91.46,,0.00,1,-102.319200,31.834183,1
0,1.0400,1072,ODESSA 1 1,Far West,18.00,58.24,,114.38,0.00,1,-102.321360,31.821643,1
0,1.0400,1073,ODESSA 1 2,Far West,18.00,55.83,,85.68,0.00,1,-102.321360,31.820419,1
0,1.0400,1074,ODESSA 1 3,Far West,18.00,58.07,,101.18,0.00,1,-102.321360,31.819195,1
0,1.0400,1075,ODESSA 1 4,Far West,18.00,57.61,,122.00,0.00,1,-102.321360,31.817972,1
0,1.0400,1076,ODESSA 1 5,Far West,18.00,60.59,,128.00,0.00,1,-102.321360,31.816748,1
0,1.0400,1077,ODESSA 1 6,Far West,18.00,56.51,,95.20,0.00,1,-102.321360,31.815525,1
2,1.0002,1079,ODESSA 1 8,Far West,500.00,28.89,,,0.00,1,-102.319200,31.837853,1
8,1.0232,1081,ODESSA 1 10,Far West,230.00,56.69,,,0.00,1,-102.312000,31.837853,1
3,1.0258,1082,FORT STOCKTON 2 0,Far West,115.00,73.90,,,0.00,1,-102.352028,30.804798,1
4,1.0300,1083,FORT STOCKTON 3 0,Far West,115.00,73.05,39.95,,0.00,1,-102.787192,30.744984,1
15,1.0152,1084,BIG SPRING 2 0,Far West,115.00,49.59,,,0.00,1,-101.294700,31.933656,1
4,1.0062,1085,KERMIT 0,Far West,115.00,64.73,22.78,,0.00,1,-103.135392,31.693801,1
4,1.0075,1086,PECOS 0,Far West,115.00,80.35,43.68,,0.00,1,-103.596314,31.801099,1
4,1.0300,1087,SHEFFIELD 0,Far West,115.00,66.67,0.91,,0.00,1,-101.780930,30.594519,1
11,1.0103,1088,MCCAMEY 2 0,Far West,115.00,68.48,,,0.00,1,-102.227300,31.206737,1
2,0.9857,1089,LAMESA 0,Far West,115.00,58.24,43.57,,0.00,1,-102.132156,32.928742,1
4,1.0182,1090,GOLDSMITH 0,Far West,115.00,59.51,,96.00,0.00,1,-102.824733,31.992557,1
3,1.0303,1091,RALLS 2 0,Far West,161.00,55.41,18.43,,0.00,1,-101.527437,33.656274,1
5,1.0124,1093,IND W TWFV 0_230,Far West,230.00,58.71,153.57,,0.00,1,-102.861095,31.840975,1
1,0.9944,1094,IND W TWFV 0_115,Far West,115.00,61.76,57.59,,0.00,1,-102.853895,31.840975,1
3,0.9938,1095,IND W TWFV 1_500,Far West,500.00,44.89,,,0.00,1,-101.645680,31.621548,1
9,1.0020,1096,IND W TWFV 1_230,Far West,230.00,48.69,146.12,,0.00,1,-101.641360,31.621548,1
2,1.0197,1097,IND W TWFV 1_115,Far West,115.00,50.75,69.42,,0.00,1,-101.645680,31.615416,1
4,1.0094,1099,IND W TWFV 2_230,Far West,230.00,58.73,175.68,,0.00,1,-102.694006,31.700808,1
3,1.0149,1100,IND W TWFV 2_115,Far West,115.00,55.58,53.58,,0.00,1,-102.686806,31.700808,1
2,1.0161,1101,IND W TWFV 3_230,Far West,230.00,55.99,128.12,,0.00,1,-102.670109,32.459143,1
2,1.0400,1102,IND W TWFV 3_115,Far West,115.00,53.76,114.01,,0.00,1,-102.667409,32.459143,1
6,1.0078,1103,IND W TWFV 4_230,Far West,230.00,52.40,140.63,,0.00,1,-101.366380,32.376088,1
6,1.0148,1104,IND W TWFV 4_115,Far West,115.00,51.22,125.19,,0.00,1,-101.364760,32.376088,1
1,1.0081,1105,IND W TWFV 5_230,Far West,230.00,55.24,114.69,,0.00,1,-101.147680,31.680549,1
2,1.0111,1106,IND W TWFV 5_115,Far West,115.00,55.85,62.69,,0.00,1,-101.143360,31.680549,1
4,1.0061,1107,IND W TWFV 6_230,Far West,230.00,51.15,133.45,,0.00,1,-101.458380,32.054085,1
6,1.0138,1108,IND W TWFV 6_115,Far West,115.00,51.07,125.99,,0.00,1,-101.456760,32.054085,1
5,1.0172,1109,IND W TWFV 7_230,Far West,230.00,55.99,184.67,,0.00,1,-102.675680,32.217563,1
2,1.0080,1110,IND W TWFV 7_115,Far West,115.00,54.44,110.09,,0.00,1,-102.671360,32.217563,1
11,1.0106,1111,IND W TWFV 8_230,Far West,230.00,45.81,173.45,,0.00,1,-101.009680,32.236564,1
4,0.9867,1112,IND W TWFV 8_115,Far West,115.00,47.77,144.51,,0.00,1,-101.005360,32.236564,1
6,1.0031,1113,IND W TWFV 9_230,Far West,230.00,51.88,142.18,,0.00,1,-101.897100,31.795852,1
2,1.0174,1114,IND W TWFV 9_115,Far West,115.00,50.63,90.83,,0.00,1,-101.889900,31.795852,1
7,1.0199,1115,IND W TWFV 10_230,Far West,230.00,54.89,182.49,,0.00,1,-102.309680,32.207563,1
1,0.9980,1116,IND W TWFV 10_115,Far West,115.00,51.37,81.15,,0.00,1,-102.305360,32.207563,1
4,1.0133,1117,IND W TWFV 11_230,Far West,230.00,54.01,197.47,,0.00,1,-102.095680,32.268565,1
2,1.0064,1118,IND W TWFV 11_115,Far West,115.00,51.36,72.53,,0.00,1,-102.091360,32.268565,1
7,1.0077,1119,IND W TWFV 12_230,Far West,230.00,49.16,152.36,,0.00,1,-101.278380,32.172086,1
6,1.0122,1120,IND W TWFV 12_115,Far West,115.00,50.87,66.25,,0.00,1,-101.276760,32.172086,1
7,1.0087,1121,IND W TWFV 13_230,Far West,230.00,53.46,197.50,,0.00,1,-101.556380,32.413088,1
1,1.0026,1122,IND W TWFV 13_115,Far West,115.00,50.97,66.80,,0.00,1,-101.554760,32.413088,1
5,1.0033,1123,IND W TWFV 14_230,Far West,230.00,51.95,191.83,,0.00,1,-101.831680,31.723550,1
2,1.0138,1124,IND W TWFV 14_115,Far West,115.00,50.63,81.10,,0.00,1,-101.827360,31.723550,1
6,1.0146,1125,IND W TWFV 15_230,Far West,230.00,57.16,182.98,,0.00,1,-102.775680,31.936556,1
1,1.0067,1126,IND W TWFV 15_115,Far West,115.00,58.18,70.19,,0.00,1,-102.771360,31.936556,1
6,1.0112,1127,IND W TWFV 16_230,Far West,230.00,54.18,172.59,,0.00,1,-101.824380,32.410088,1
4,1.0320,1128,IND W TWFV 16_115,Far West,115.00,54.32,109.99,,0.00,1,-101.822760,32.410088,1
5,1.0196,1129,IND W TWFV 17_230,Far West,230.00,56.46,177.24,,0.00,1,-102.421680,31.862554,1
3,1.0157,1130,IND W TWFV 17_115,Far West,115.00,54.78,67.79,,0.00,1,-102.417360,31.862554,1
4,1.0106,1131,IND W TWFV 18_230,Far West,230.00,53.90,153.87,,0.00,1,-101.900380,32.308087,1
3,1.0199,1132,IND W TWFV 18_115,Far West,115.00,52.68,104.68,,0.00,1,-101.898760,32.308087,1
6,1.0057,1133,IND W TWFV 19_230,Far West,230.00,51.47,152.56,,0.00,1,-101.360380,32.318087,1
6,1.0167,1134,IND W TWFV 19_115,Far West,115.00,51.29,52.39,,0.00,1,-101.358760,32.318087,1
2,1.0139,2001,PARIS 3 0,North,161.00,8.31,87.84,10.00,0.00,2,-95.387110,33.630512,1
2,1.0260,2002,SAVOY 0,North,500.00,0.98,,,0.00,2,-96.363285,33.625745,1
4,1.0187,2003,SAVOY 1,North,161.00,0.05,,,0.00,2,-96.358965,33.625745,1
3,1.0142,2007,HONEY GROVE 0,North,161.00,5.47,16.12,,0.00,2,-95.896509,33.612769,1
3,1.0395,2008,MEMPHIS 0,North,161.00,59.25,12.43,,0.00,2,-100.503868,34.851350,1
7,1.0259,2009,IOWA PARK 0,North,161.00,25.56,57.37,,0.00,2,-98.717496,33.970909,1
6,1.0321,2010,VERNON 2 0,North,161.00,38.44,67.54,,0.00,2,-99.736678,33.912925,1
3,1.0419,2011,PANHANDLE 2 0,North,500.00,54.65,,,0.00,2,-101.292833,35.232452,1
7,1.0400,2012,PANHANDLE 2 1,North,161.00,59.20,,,0.00,2,-101.274833,35.232452,1
0,1.0400,2013,PANHANDLE 2 2,North,18.00,57.98,,211.20,0.00,2,-101.298233,35.222895,1
3,1.0362,2014,CHILDRESS 0,North,161.00,57.70,41.39,,0.00,2,-100.800848,34.441288,1
3,1.0162,2015,FORESTBURG 0,North,161.00,3.07,8.75,,0.00,2,-97.441589,33.469215,1
2,1.0184,2016,SHERMAN 3 0,North,161.00,-3.76,71.93,,0.00,2,-96.763794,33.625225,1
3,1.0399,2017,PANHANDLE 4 0,North,500.00,53.60,,,0.00,2,-101.235056,35.421633,1
1,1.0325,2018,PANHANDLE 4 1,North,161.00,56.99,,,0.00,2,-101.217056,35.421633,1
0,1.0400,2019,PANHANDLE 4 2,North,20.00,57.29,,218.00,0.00,2,-101.240456,35.412098,1
9,1.0216,2020,WICHITA FALLS 6 0,North,161.00,24.98,47.97,,0.00,2,-98.519464,33.941395,1
2,1.0330,2021,PARIS 2 0,North,500.00,4.37,,,0.00,2,-95.550500,33.694404,1
6,1.0218,2022,PARIS 2 1,North,161.00,7.19,13.39,,0.00,2,-95.543300,33.694404,1
0,1.0400,2023,PARIS 2 2,North,13.80,8.12,,87.00,0.00,2,-95.552660,33.691708,1
0,1.0400,2024,PARIS 2 3,North,13.80,9.23,,76.00,0.00,2,-95.552660,33.690510,1
8,1.0216,2025,WICHITA FALLS 4 0,North,161.00,25.12,67.72,,0.00,2,-98.487446,33.862124,1
2,1.0257,2026,WHEELER 0,North,161.00,52.92,27.71,,0.00,2,-100.756905,35.824925,1
5,1.0225,2027,DEPORT 0,North,161.00,11.19,6.35,,0.00,2,-95.265647,33.479149,1
5,1.0208,2028,WICHITA FALLS 3 0,North,161.00,24.40,19.06,,0.00,2,-98.385157,34.002395,1
4,1.0418,2029,SILVERTON 0,North,161.00,59.18,3.82,,0.00,2,-101.228233,34.426328,1
2,1.0046,2030,BONHAM 0,North,161.00,1.37,70.51,,0.00,2,-96.237054,33.705915,1
2,1.0282,2031,MATADOR 0,North,161.00,52.23,9.44,,0.00,2,-100.380617,33.708288,1
2,1.0162,2032,ARTHUR CITY 0,North,161.00,5.89,5.65,,0.00,2,-95.645537,33.855476,1
4,1.0108,2033,LEONARD 0,North,161.00,2.37,19.65,,0.00,2,-96.142889,33.497976,1
3,1.0216,2034,GORDONVILLE 0,North,161.00,-2.09,7.41,,0.00,2,-96.836164,33.828540,1
3,1.0259,2035,KNOX CITY 0,North,161.00,38.43,8.45,,0.00,2,-99.850067,33.429433,1
12,1.0217,2036,WICHITA FALLS 7 0,North,161.00,25.47,66.08,,0.00,2,-98.540070,33.892550,1
4,1.0277,2037,LINDSAY 0,North,161.00,5.01,4.48,,0.00,2,-97.325980,33.546750,1
3,1.0133,2038,ECTOR 0,North,161.00,0.07,4.19,,0.00,2,-96.279297,33.551120,1
3,1.0045,2039,SUNSET 0,North,161.00,6.60,8.26,,0.00,2,-97.748218,33.453588,1
3,1.0214,2040,CLARKSVILLE 0,North,161.00,7.88,16.75,,0.00,2,-94.993658,33.660666,1
5,1.0422,2041,PANHANDLE 3 0,North,161.00,61.09,,,0.00,2,-101.569572,35.380168,1
0,1.0400,2042,PANHANDLE 3 1,North,18.00,66.28,,79.60,0.00,2,-101.574972,35.364757,1
5,1.0214,2043,SADLER 0,North,161.00,-2.09,7.85,,0.00,2,-96.835943,33.735579,1
3,1.0213,2044,WHITESBORO 0,North,161.00,-1.43,41.32,,0.00,2,-96.932521,33.741498,1
7,1.0214,2045,SHEPPARD AFB 0,North,161.00,24.89,23.61,,0.00,2,-98.505416,33.967134,1
3,1.0224,2046,POTTSBORO 0,North,161.00,-2.03,35.74,,0.00,2,-96.722389,33.798324,1
3,1.0194,2047,BELLS 0,North,161.00,-0.21,20.15,,0.00,2,-96.424274,33.621247,1
7,1.0293,2048,CROSBYTON 0,North,161.00,54.70,9.44,,0.00,2,-100.963802,33.749806,1
6,1.0292,2049,ELECTRA 0,North,161.00,35.13,17.25,,0.00,2,-99.115146,34.100558,1
5,1.0210,2050,PATTONVILLE 0,North,161.00,12.07,3.66,,0.00,2,-95.421590,33.389265,1
2,1.0200,2051,HENRIETTA 0,North,161.00,15.05,33.68,,0.00,2,-98.198651,33.756096,1
2,1.0356,2052,PANHANDLE 6 0,North,161.00,58.33,39.67,,0.00,2,-100.985549,34.894855,1
3,1.0000,2053,BOWIE 0,North,161.00,14.24,56.93,,0.00,2,-97.952520,33.518171,1
4,1.0239,2054,WICHITA FALLS 1 0,North,500.00,24.00,,,0.00,2,-98.488780,33.910910,1
8,1.0214,2055,WICHITA FALLS 1 1,North,161.00,24.89,90.64,,0.00,2,-98.484460,33.910910,1
3,1.0393,2058,WHITE DEER 0,North,161.00,59.77,,,0.00,2,-101.234900,35.473037,1
3,1.0139,2060,ROXTON 0,North,161.00,5.60,5.52,,0.00,2,-95.806101,33.574424,1
6,1.0384,2061,VERNON 1 0,North,161.00,41.87,,,0.00,2,-99.344334,34.286964,1
0,1.0400,2062,VERNON 1 1,North,18.00,46.67,,135.40,0.00,2,-99.349734,34.268372,1
2,1.0300,2063,DENISON 2 0,North,161.00,-1.54,82.36,100.00,0.00,2,-96.565600,33.815707,1
2,1.0174,2064,SUMNER 0,North,161.00,6.34,11.42,,0.00,2,-95.740727,33.742841,1
3,1.0300,2065,GAINESVILLE 0,North,161.00,2.35,103.15,,0.00,2,-97.172750,33.659186,1
2,1.0198,2066,ASPERMONT 0,North,161.00,44.85,10.42,,0.00,2,-100.243783,33.182160,1
6,1.0214,2067,WICHITA FALLS 5 0,North,161.00,25.17,63.88,,0.00,2,-98.506240,33.796692,1
2,1.0264,2068,WINDTHORST 0,North,161.00,26.06,7.81,,0.00,2,-98.357233,33.507321,1
3,1.0300,2069,HOWE 0,North,161.00,-4.76,34.61,,0.00,2,-96.738645,33.448365,1
2,1.0244,2070,ARCHER 2 0,North,161.00,25.71,,,0.00,2,-98.578344,33.490654,1
0,1.0400,2071,ARCHER 2 1,North,18.00,31.66,,161.00,0.00,2,-98.580504,33.487952,1
3,1.0215,2072,COLLINSVILLE 0,North,161.00,-3.32,14.30,,0.00,2,-96.902975,33.535305,1
4,1.0250,2073,JAYTON 0,North,161.00,50.16,,,0.00,2,-100.561580,32.966454,1
1,1.0183,2074,JAYTON 1,North,115.00,53.07,,,0.00,2,-100.558880,32.966454,1
0,1.0250,2076,JAYTON 3,North,24.00,50.16,,0.00,0.00,2,-100.562390,32.964528,1
4,1.0296,2077,MUENSTER 1 0,North,161.00,7.00,,,0.00,2,-97.424806,33.730611,1
0,1.0400,2078,MUENSTER 1 1,North,13.80,14.94,,112.50,0.00,2,-97.426966,33.725521,1
2,1.0223,2079,PADUCAH 0,North,161.00,44.91,6.22,,0.00,2,-100.283647,33.991934,1
3,1.0144,2080,NOCONA 0,North,161.00,10.84,27.45,,0.00,2,-97.960202,33.790681,1
2,1.0118,2081,DODD CITY 0,North,161.00,-0.02,4.54,,0.00,2,-96.068556,33.613141,1
9,1.0220,2082,WICHITA FALLS 2 0,North,161.00,25.44,66.45,17.00,0.00,2,-98.585800,33.860108,1
0,1.0400,2083,WICHITA FALLS 2 1,North,20.00,28.80,,19.70,0.00,2,-98.587960,33.849047,1
0,1.0400,2084,WICHITA FALLS 2 2,North,20.00,30.20,,19.70,0.00,2,-98.587960,33.847851,1
0,1.0400,2085,WICHITA FALLS 2 3,North,20.00,31.20,,19.70,0.00,2,-98.587960,33.846655,1
2,1.0079,2086,MONTAGUE 0,North,161.00,8.20,3.31,,0.00,2,-97.684273,33.624506,1
4,1.0279,2087,SPUR 0,North,161.00,50.57,8.72,,0.00,2,-100.711132,33.338647,1
3,1.0236,2088,ARCHER 1 0,North,161.00,25.34,,,0.00,2,-98.496400,33.492876,1
0,1.0383,2089,ARCHER 1 1,North,24.00,29.38,,67.60,0.00,2,-98.498560,33.488973,1
3,1.0231,2090,ANNONA 0,North,161.00,10.45,2.42,,0.00,2,-94.887245,33.495819,1
8,1.0237,2091,SEYMOUR 0,North,161.00,34.75,19.99,30.20,0.00,2,-99.188500,33.575841,1
2,1.0236,2092,DENISON 1 0,North,161.00,-1.05,32.70,,0.00,2,-96.467194,33.724731,1
5,1.0417,2093,PANHANDLE 5 0,North,161.00,60.50,,,0.00,2,-101.531000,35.338554,1
2,1.0276,2096,RALLS 1 0,North,500.00,52.65,,,0.00,2,-101.426611,33.711275,1
3,1.0236,2097,RALLS 1 1,North,230.00,55.70,,,0.00,2,-101.419411,33.711275,1
3,1.0293,2098,RALLS 1 2,North,161.00,55.30,,,0.00,2,-101.426611,33.706484,1
0,1.0400,2099,RALLS 1 3,North,18.00,57.90,,150.00,0.00,2,-101.428771,33.708580,1
2,1.0241,2101,SHERMAN 1 0,North,500.00,0.08,,,0.00,2,-96.610693,33.580174,1
4,1.0230,2102,SHERMAN 1 1,North,161.00,-1.21,,,0.00,2,-96.603493,33.580174,1
0,1.0400,2103,SHERMAN 1 2,North,20.00,4.64,,150.00,0.00,2,-96.612853,33.577474,1
0,1.0241,2104,SHERMAN 1 3,North,20.00,0.08,,0.00,0.00,2,-96.612853,33.576275,1
0,1.0241,2105,SHERMAN 1 4,North,20.00,0.08,,0.00,0.00,2,-96.612853,33.575075,1
7,1.0105,2106,WHITEWRIGHT 0,North,161.00,0.14,25.46,10.00,0.00,2,-96.375294,33.495784,1
3,1.0205,2107,SHERMAN 2 0,North,161.00,-1.76,133.20,,0.00,2,-96.546805,33.601732,1
6,1.0307,2108,ROCHESTER 0,North,161.00,36.11,2.22,,0.00,2,-99.620657,33.342960,1
4,1.0225,2109,BURKBURNETT 0,North,161.00,24.78,53.41,,0.00,2,-98.618867,34.100888,1
4,1.0300,2110,MUENSTER 2 0,North,161.00,6.46,14.76,,0.00,2,-97.368409,33.701455,1
3,1.0142,2111,ARCHER CITY 0,North,161.00,31.38,19.81,,0.00,2,-98.881182,33.524995,1
2,1.0178,2112,PETROLIA 0,North,161.00,21.51,5.70,,0.00,2,-98.255720,34.005921,1
4,1.0335,2113,PARIS 1 0,North,500.00,4.38,,,0.00,2,-95.582800,33.628402,1
9,1.0219,2114,PARIS 1 1,North,161.00,7.46,140.57,,0.00,2,-95.575600,33.628402,1
0,1.0400,2115,PARIS 1 2,North,13.80,8.11,,92.80,0.00,2,-95.584960,33.623306,1
0,1.0400,2116,PARIS 1 3,North,13.80,5.79,,92.80,0.00,2,-95.584960,33.622107,1
0,1.0400,2117,PARIS 1 4,North,13.80,10.17,,127.80,0.00,2,-95.584960,33.620908,1
0,1.0400,2118,PARIS 1 5,North,13.80,6.38,,127.80,0.00,2,-95.584960,33.619709,1
0,1.0400,2119,PARIS 1 6,North,13.80,7.30,,145.00,0.00,2,-95.584960,33.618510,1
0,1.0335,2120,PARIS 1 7,North,13.80,4.38,,0.00,0.00,2,-95.584960,33.617310,1
2,1.0221,2121,BAGWELL 0,North,161.00,8.71,3.65,,0.00,2,-95.148366,33.799475,1
3,1.0096,2122,TELEPHONE 0,North,161.00,4.05,11.41,,0.00,2,-95.993223,33.776322,1
5,1.0417,2123,PANHANDLE 1 0,North,161.00,60.72,,,0.00,2,-101.363778,35.436912,1
2,1.0058,2124,VAN ALSTYNE 0,North,161.00,-1.95,27.63,,0.00,2,-96.546313,33.433257,1
4,1.0191,2125,TIOGA 0,North,161.00,-3.23,4.36,,0.00,2,-96.889124,33.462240,1
3,1.0177,2126,VALLEY VIEW 0,North,161.00,3.89,14.34,,0.00,2,-97.124952,33.455625,1
7,1.0459,2127,MIAMI 0,North,500.00,47.33,,,0.00,2,-100.520611,35.648038,1
1,1.0289,2128,MIAMI 1,North,161.00,50.23,,,0.00,2,-100.502611,35.648038,1
5,1.0096,2129,TRENTON 0,North,161.00,0.02,6.63,,0.00,2,-96.307885,33.436722,1
7,1.0265,2130,HASKELL 0,North,161.00,34.93,,,0.00,2,-99.592632,33.185978,1
1,1.0198,2131,HASKELL 1,North,115.00,37.02,23.00,,0.00,2,-99.589932,33.185978,1
3,1.0283,2133,SAINT JO 0,North,161.00,7.28,8.33,,0.00,2,-97.531729,33.738972,1
2,1.0153,3001,KERRVILLE 0,West,230.00,-8.71,,,0.00,3,-99.161419,30.035766,1
4,1.0020,3002,KERRVILLE 1,West,115.00,-8.45,112.86,,0.00,3,-99.159799,30.035766,1
