From Number,To Number,To Nom kV,From Nom kV,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1009,1008,115.000,13.800,1,Closed,Transformer,YES,0.00191,0.04337,0.00000,331.3,331.3,331.3
1010,1002,115.000,115.000,1,Closed,Line,NO,0.05552,0.13570,0.01777,98.0,0.0,0.0
1010,1015,115.000,115.000,1,Closed,Line,NO,0.04703,0.28243,0.03833,98.0,0.0,0.0
1010,1030,115.000,115.000,1,Closed,Line,NO,0.06160,0.36990,0.05020,98.0,0.0,0.0
1011,1010,115.000,22.000,1,Closed,Transformer,YES,0.01402,0.52293,0.00000,29.6,29.6,29.6
1012,1087,115.000,115.000,1,Closed,Line,NO,0.04934,0.20469,0.03473,149.0,0.0,0.0
1013,1031,115.000,115.000,1,Closed,Line,NO,0.04509,0.27078,0.03675,98.0,0.0,0.0
1013,12834,115.000,115.000,1,Closed,Line,NO,0.01107,0.03872,0.02006,148.0,148.0,148.0
1013,13304,115.000,115.000,1,Closed,Line,NO,0.00992,0.04415,0.01442,124.4,124.4,124.4
1014,1047,115.000,115.000,1,Closed,Line,NO,0.03566,0.14794,0.02510,177.0,177.0,177.0
1014,1083,115.000,115.000,1,Closed,Line,NO,0.04105,0.18293,0.02682,149.0,0.0,0.0
1014,12891,230.000,115.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,600.0,600.0,600.0
1014,13022,115.000,115.000,1,Closed,Line,NO,0.00200,0.00755,0.00122,279.0,279.0,279.0
1014,13186,115.000,115.000,1,Closed,Line,NO,0.00928,0.04430,0.03104,251.0,251.0,251.0
1014,13302,115.000,115.000,1,Closed,Line,NO,0.01043,0.03689,0.02358,162.0,162.0,162.0
1014,13415,115.000,115.000,1,Closed,Line,NO,0.04193,0.23875,0.04113,121.8,121.8,121.8
1016,1034,115.000,115.000,1,Closed,Line,NO,0.01828,0.10976,0.01489,220.0,0.0,0.0
1016,1106,115.000,115.000,1,Closed,Line,NO,0.01420,0.06227,0.03002,122.8,122.8,122.8
1016,12795,115.000,115.000,1,Closed,Line,NO,0.01124,0.04564,0.01261,120.0,120.0,120.0
1017,1029,115.000,115.000,1,Closed,Line,NO,0.03244,0.14188,0.02161,149.0,0.0,0.0
1017,1037,115.000,115.000,1,Closed,Line,NO,0.00752,0.03352,0.00491,221.0,0.0,0.0
1018,1017,115.000,115.000,1,Closed,Line,NO,0.03227,0.07887,0.01033,98.0,0.0,0.0
1018,1037,115.000,115.000,1,Closed,Line,NO,0.00934,0.04003,0.00938,130.7,130.7,130.7
1018,1100,115.000,115.000,1,Closed,Line,NO,0.00166,0.00778,0.03374,98.7,98.7,98.7
1018,13414,115.000,115.000,1,Closed,Line,NO,0.00959,0.03757,0.00801,101.7,101.7,101.7
1019,1029,115.000,115.000,1,Closed,Line,NO,0.00362,0.01562,0.00270,124.0,124.0,124.0
1019,1037,115.000,115.000,1,Closed,Line,NO,0.01945,0.09406,0.02595,132.1,132.1,132.1
1019,1040,115.000,115.000,1,Closed,Line,NO,0.04978,0.20651,0.03504,149.0,0.0,0.0
1019,1045,115.000,115.000,1,Closed,Line,NO,0.01522,0.03720,0.00487,221.0,0.0,0.0
1019,1045,115.000,115.000,2,Closed,Line,NO,0.01037,0.03783,0.00493,113.4,113.4,113.4
1019,1056,115.000,115.000,1,Closed,Line,NO,0.02120,0.07377,0.03737,122.5,122.5,122.5
1019,1064,115.000,115.000,1,Closed,Line,NO,0.01041,0.04812,0.01060,125.7,125.7,125.7
1019,1071,115.000,115.000,1,Closed,Line,NO,0.00440,0.02800,0.00540,225.0,0.0,0.0
1019,1084,115.000,115.000,1,Closed,Line,NO,0.03000,0.16000,0.02500,220.0,0.0,0.0
1020,1025,115.000,115.000,1,Closed,Line,NO,0.00828,0.03434,0.00583,149.0,0.0,0.0
1020,3059,115.000,115.000,1,Closed,Line,NO,0.01890,0.06000,0.00600,300.0,0.0,0.0
1020,3130,115.000,115.000,1,Closed,Line,NO,0.00996,0.06938,0.01134,221.0,0.0,0.0
1021,1020,115.000,13.800,1,Closed,Transformer,YES,0.00198,0.04690,0.00000,354.4,354.4,354.4
1022,1028,115.000,115.000,1,Closed,Line,NO,0.01433,0.09253,0.01765,221.0,0.0,0.0
1022,1028,115.000,115.000,2,Closed,Line,NO,0.01433,0.09253,0.01765,221.0,0.0,0.0
1023,1022,115.000,13.800,1,Closed,Transformer,YES,0.00146,0.06709,0.00000,217.6,217.6,217.6
1024,1018,115.000,115.000,1,Closed,Line,NO,0.01094,0.06572,0.00892,98.0,0.0,0.0
1024,1090,115.000,115.000,1,Closed,Line,NO,0.01414,0.06303,0.00924,149.0,0.0,0.0
1024,12803,115.000,115.000,1,Closed,Line,NO,0.00383,0.01939,0.00677,116.2,116.2,116.2
1025,1005,115.000,115.000,1,Closed,Line,NO,0.01842,0.08210,0.01204,149.0,0.0,0.0
1025,1034,115.000,115.000,1,Closed,Line,NO,0.00627,0.02659,0.00567,131.6,131.6,131.6
1025,1067,115.000,115.000,1,Closed,Line,NO,0.01050,0.04669,0.01214,130.4,130.4,130.4
1025,1084,115.000,115.000,1,Closed,Line,NO,0.00724,0.03337,0.00938,121.8,121.8,121.8
1026,1025,115.000,13.800,1,Closed,Transformer,YES,0.00325,0.07208,0.00000,166.4,166.4,166.4
1027,1045,115.000,115.000,1,Closed,Line,NO,0.02505,0.10957,0.01669,221.0,0.0,0.0
1027,1118,115.000,115.000,1,Closed,Line,NO,0.00442,0.02000,0.00519,135.0,135.0,135.0
1027,1132,115.000,115.000,1,Closed,Line,NO,0.01162,0.04537,0.00653,111.3,111.3,111.3
1028,3109,115.000,115.000,1,Closed,Line,NO,0.00428,0.01875,0.00286,453.0,453.0,453.0
1028,13359,115.000,115.000,1,Closed,Line,NO,0.00338,0.01744,0.00314,122.4,122.4,122.4
1029,1045,115.000,115.000,1,Closed,Line,NO,0.00971,0.03238,0.00900,146.9,146.9,146.9
1029,1056,115.000,115.000,1,Closed,Line,NO,0.02054,0.11733,0.01763,221.0,0.0,0.0
1030,1038,115.000,115.000,1,Closed,Line,NO,0.07404,0.42285,0.06354,98.0,0.0,0.0
1031,1007,115.000,115.000,1,Closed,Line,NO,0.04803,0.27434,0.04123,98.0,0.0,0.0
1032,1036,115.000,115.000,1,Closed,Line,NO,0.01956,0.11746,0.01594,98.0,0.0,0.0
1032,1088,115.000,115.000,1,Closed,Line,NO,0.00258,0.01056,0.00379,450.0,213.8,213.8
1032,12893,115.000,115.000,1,Closed,Line,NO,0.01963,0.08845,0.02318,136.8,136.8,136.8
1032,13137,115.000,115.000,1,Closed,Line,NO,0.01419,0.06582,0.01616,228.0,228.0,228.0
1032,13140,115.000,115.000,1,Closed,Line,NO,0.00808,0.03247,0.00380,122.9,122.9,122.9
1032,13211,115.000,115.000,1,Closed,Line,NO,0.00613,0.03033,0.00516,116.6,116.6,116.6
1032,13214,115.000,115.000,1,Closed,Line,NO,0.01214,0.04014,0.00600,140.7,140.7,140.7
1032,13218,115.000,115.000,1,Closed,Line,NO,0.00615,0.02502,0.00844,117.5,117.5,117.5
1032,13415,115.000,115.000,1,Closed,Line,NO,0.00537,0.02563,0.01022,145.6,145.6,145.6
1033,1032,115.000,230.000,1,Closed,Transformer,YES,0.00283,0.06758,0.00000,170.0,0.0,0.0
1033,1081,230.000,230.000,1,Closed,Line,NO,0.00300,0.03100,0.05900,637.0,637.0,637.0
1033,3050,230.000,230.000,1,Closed,Line,NO,0.01390,0.13600,0.26200,647.0,0.0,0.0
1033,12594,230.000,230.000,1,Closed,Line,NO,0.00286,0.02306,0.06719,439.0,439.0,439.0
1033,12855,230.000,230.000,1,Closed,Line,NO,0.00048,0.00406,0.00955,750.7,750.7,750.7
1033,12894,230.000,230.000,1,Closed,Line,NO,0.00227,0.02247,0.09595,550.4,550.4,550.4
1034,1065,115.000,115.000,1,Closed,Line,NO,0.00973,0.03540,0.01647,118.8,118.8,118.8
1034,1067,115.000,115.000,1,Closed,Line,NO,0.00795,0.04771,0.00647,98.0,0.0,0.0
1034,1084,115.000,115.000,1,Closed,Line,NO,0.00478,0.02272,0.00289,223.3,223.3,223.3
1034,1084,115.000,115.000,2,Closed,Line,NO,0.00478,0.02272,0.00289,223.3,223.3,223.3
1034,1084,115.000,115.000,3,Closed,Line,NO,0.00478,0.02272,0.00289,223.3,223.3,223.3
1034,1108,115.000,115.000,1,Closed,Line,NO,0.00826,0.03775,0.01234,138.1,138.1,138.1
1035,1034,115.000,13.800,1,Closed,Transformer,YES,0.00141,0.05332,0.00000,116.7,116.7,116.7
1036,12774,230.000,115.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,600.0,600.0,600.0
1036,13274,115.000,115.000,1,Closed,Line,NO,0.02326,0.12252,0.01486,129.0,129.0,129.0
1036,13339,115.000,115.000,1,Closed,Line,NO,0.01310,0.06415,0.03909,450.0,211.5,211.5
1037,1071,115.000,115.000,1,Closed,Line,NO,0.00669,0.04319,0.00824,300.0,0.0,0.0
1037,1100,115.000,115.000,1,Closed,Line,NO,0.01113,0.05556,0.01789,129.4,129.4,129.4
1037,1130,115.000,115.000,1,Closed,Line,NO,0.00411,0.02136,0.00590,118.0,118.0,118.0
1038,1032,115.000,115.000,1,Closed,Line,NO,0.04500,0.11000,0.01500,155.0,0.0,0.0
1038,13189,115.000,115.000,1,Closed,Line,NO,0.01376,0.05108,0.01635,145.9,145.9,145.9
1039,1038,115.000,22.000,1,Closed,Transformer,YES,0.00724,0.11581,0.00000,167.4,167.4,167.4
1040,1090,115.000,115.000,1,Closed,Line,NO,0.02991,0.13329,0.01955,149.0,0.0,0.0
1040,1102,115.000,115.000,1,Closed,Line,NO,0.00937,0.03923,0.00857,111.7,111.7,111.7
1040,1110,115.000,115.000,1,Closed,Line,NO,0.00905,0.04882,0.00574,135.0,135.0,135.0
1041,1061,115.000,115.000,1,Closed,Line,NO,0.00792,0.03565,0.01027,133.6,133.6,133.6
1041,1065,115.000,115.000,1,Closed,Line,NO,0.00386,0.02203,0.00331,98.0,0.0,0.0
1041,1067,115.000,115.000,1,Closed,Line,NO,0.00393,0.01722,0.00262,149.0,0.0,0.0
1041,1067,115.000,115.000,2,Closed,Line,NO,0.00131,0.00628,0.00166,119.1,119.1,119.1
1041,1108,115.000,115.000,1,Closed,Line,NO,0.01197,0.04875,0.00429,127.0,127.0,127.0
1041,1120,115.000,115.000,1,Closed,Line,NO,0.00817,0.03658,0.00626,136.8,136.8,136.8
1041,13409,115.000,115.000,1,Closed,Line,NO,0.00577,0.02157,0.00447,147.1,147.1,147.1
1041,13424,115.000,115.000,1,Closed,Line,NO,0.00919,0.04212,0.06918,115.2,115.2,115.2
1042,1041,115.000,13.800,1,Closed,Transformer,YES,0.00514,0.10188,0.00000,195.3,195.3,195.3
1044,3019,115.000,115.000,1,Closed,Line,NO,0.03857,0.17192,0.02521,149.0,0.0,0.0
1044,12791,230.000,115.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,600.0,600.0,600.0
1044,12810,115.000,115.000,1,Closed,Line,NO,0.00639,0.02854,0.02328,239.2,239.2,239.2
1045,1064,115.000,115.000,1,Closed,Line,NO,0.00545,0.03794,0.00620,221.0,0.0,0.0
1045,1064,115.000,115.000,2,Closed,Line,NO,0.00480,0.02087,0.01167,136.0,136.0,136.0
1045,12803,115.000,115.000,1,Closed,Line,NO,0.01035,0.04407,0.05124,197.5,197.5,197.5
1045,12803,115.000,115.000,2,Closed,Line,NO,0.01035,0.04407,0.05124,197.5,197.5,197.5
1046,3009,115.000,115.000,1,Closed,Line,NO,0.05654,0.23454,0.03980,149.0,0.0,0.0
1046,12819,115.000,115.000,1,Closed,Line,NO,0.00926,0.04658,0.00511,142.8,142.8,142.8
1047,1013,115.000,115.000,1,Closed,Line,NO,0.00947,0.06117,0.01167,292.0,292.0,292.0
1047,1017,115.000,115.000,1,Closed,Line,NO,0.03600,0.15600,0.02400,150.0,0.0,0.0
1047,1085,115.000,115.000,1,Closed,Line,NO,0.00947,0.06117,0.01167,221.0,0.0,0.0
1048,1047,115.000,18.000,1,Closed,Transformer,YES,0.00614,0.22487,0.00000,92.6,92.6,92.6
1049,1047,115.000,18.000,1,Closed,Transformer,YES,0.00350,0.09304,0.00000,97.0,97.0,97.0
1050,1047,115.000,18.000,1,Closed,Transformer,YES,0.00317,0.12614,0.00000,102.9,102.9,102.9
1051,1047,115.000,18.000,1,Closed,Transformer,YES,0.00531,0.16778,0.00000,86.4,86.4,86.4
1052,1047,115.000,18.000,1,Closed,Transformer,YES,0.01283,0.25015,0.00000,81.4,81.4,81.4
1053,1047,115.000,230.000,1,Closed,Transformer,YES,0.00230,0.03000,0.00000,332.0,332.0,332.0
1053,1047,115.000,230.000,2,Closed,Transformer,YES,0.00230,0.03000,0.00000,332.0,332.0,332.0
1053,1081,230.000,230.000,1,Closed,Line,NO,0.00300,0.03000,0.06000,548.0,0.0,0.0
1053,1093,230.000,230.000,1,Closed,Line,NO,0.00289,0.02528,0.06102,496.9,496.9,496.9
1053,1099,230.000,230.000,1,Closed,Line,NO,0.00238,0.02004,0.06671,526.0,526.0,526.0
1053,12835,230.000,230.000,1,Closed,Line,NO,0.00272,0.02604,0.11825,742.6,742.6,742.6
1053,12835,230.000,230.000,2,Closed,Line,NO,0.00272,0.02604,0.11825,742.6,742.6,742.6
1054,1056,115.000,115.000,1,Closed,Line,NO,0.02202,0.09633,0.01467,149.0,0.0,0.0
1054,1128,115.000,115.000,1,Closed,Line,NO,0.00843,0.03162,0.00651,256.0,256.0,256.0
1054,1128,115.000,115.000,2,Closed,Line,NO,0.00843,0.03162,0.00651,256.0,256.0,256.0
1054,12718,115.000,115.000,1,Closed,Line,NO,0.00347,0.02149,0.01042,264.0,264.0,264.0
1054,13002,115.000,115.000,1,Closed,Line,NO,0.00691,0.03353,0.02743,212.0,212.0,212.0
1054,13002,115.000,115.000,2,Closed,Line,NO,0.00691,0.03353,0.02743,212.0,212.0,212.0
1055,1089,115.000,115.000,1,Closed,Line,NO,0.04982,0.12179,0.01595,98.0,0.0,0.0
1056,1027,115.000,115.000,1,Closed,Line,NO,0.03121,0.07630,0.00999,250.0,0.0,0.0
1056,1061,115.000,115.000,1,Closed,Line,NO,0.02267,0.12946,0.01945,150.0,0.0,0.0
1056,1065,115.000,115.000,1,Closed,Line,NO,0.02269,0.12962,0.01948,250.0,0.0,0.0
1056,1132,115.000,115.000,1,Closed,Line,NO,0.00666,0.03243,0.00545,117.9,117.9,117.9
1057,1056,115.000,18.000,1,Closed,Transformer,YES,0.00376,0.11705,0.00000,155.3,155.3,155.3
1058,1069,115.000,115.000,1,Closed,Line,NO,0.00740,0.05155,0.00843,221.0,0.0,0.0
1058,1087,115.000,115.000,1,Closed,Line,NO,0.01573,0.10956,0.01791,221.0,0.0,0.0
1058,1087,115.000,115.000,2,Closed,Line,NO,0.01573,0.10956,0.01791,221.0,0.0,0.0
1061,1067,115.000,115.000,1,Closed,Line,NO,0.00703,0.03099,0.01618,112.3,112.3,112.3
1061,1104,115.000,115.000,1,Closed,Line,NO,0.01100,0.04615,0.00586,122.5,122.5,122.5
1061,1112,115.000,115.000,1,Closed,Line,NO,0.01443,0.06523,0.03985,169.8,169.8,169.8
1061,1120,115.000,115.000,1,Closed,Line,NO,0.01316,0.05960,0.00845,144.9,144.9,144.9
1061,1134,115.000,115.000,1,Closed,Line,NO,0.00531,0.02199,0.00441,125.5,125.5,125.5
1061,3042,115.000,115.000,1,Closed,Line,NO,0.05400,0.18000,0.02800,221.0,0.0,0.0
1061,13409,115.000,115.000,1,Closed,Line,NO,0.00190,0.00898,0.01205,132.4,132.4,132.4
1062,1061,115.000,13.800,1,Closed,Transformer,YES,0.00630,0.14546,0.00000,109.9,109.9,109.9
1063,1061,115.000,13.800,1,Closed,Transformer,YES,0.00360,0.17257,0.00000,106.1,106.1,106.1
1065,1067,115.000,115.000,1,Closed,Line,NO,0.00635,0.02366,0.00317,131.9,131.9,131.9
1065,1108,115.000,115.000,1,Closed,Line,NO,0.00243,0.01390,0.00320,146.1,146.1,146.1
1065,1120,115.000,115.000,1,Closed,Line,NO,0.01025,0.03819,0.01433,130.7,130.7,130.7
1065,13409,115.000,115.000,1,Closed,Line,NO,0.00814,0.03387,0.00886,116.9,116.9,116.9
1066,1065,115.000,13.800,1,Closed,Transformer,YES,0.00241,0.10153,0.00000,179.1,179.1,179.1
1067,1005,115.000,115.000,1,Closed,Line,NO,0.01711,0.04181,0.00548,98.0,0.0,0.0
1067,1108,115.000,115.000,1,Closed,Line,NO,0.00658,0.03504,0.00504,122.3,122.3,122.3
1067,1120,115.000,115.000,1,Closed,Line,NO,0.01007,0.03050,0.00744,107.9,107.9,107.9
1067,1134,115.000,115.000,1,Closed,Line,NO,0.00878,0.04138,0.01976,129.1,129.1,129.1
1067,13409,115.000,115.000,1,Closed,Line,NO,0.00233,0.01163,0.01330,137.3,137.3,137.3
1068,1016,115.000,115.000,1,Closed,Line,NO,0.02773,0.15837,0.02380,98.0,0.0,0.0
1069,1058,115.000,115.000,2,Closed,Line,NO,0.00740,0.05155,0.00843,221.0,0.0,0.0
1069,12893,115.000,115.000,1,Closed,Line,NO,0.01884,0.09831,0.02793,132.7,132.7,132.7
1069,13137,115.000,115.000,1,Closed,Line,NO,0.01445,0.05667,0.00736,125.4,125.4,125.4
1069,13361,115.000,115.000,1,Closed,Line,NO,0.00565,0.02960,0.00694,122.4,122.4,122.4
1070,1069,115.000,13.800,1,Closed,Transformer,YES,0.00246,0.05800,0.00000,218.2,218.2,218.2
1071,1019,115.000,115.000,2,Closed,Line,NO,0.00440,0.02800,0.00540,225.0,0.0,0.0
1071,1130,115.000,115.000,1,Closed,Line,NO,0.00415,0.01914,0.00860,138.1,138.1,138.1
1072,1071,115.000,18.000,1,Closed,Transformer,YES,0.00355,0.05674,0.00000,259.1,259.1,259.1
1073,1071,115.000,18.000,1,Closed,Transformer,YES,0.00110,0.02365,0.00000,248.6,248.6,248.6
1074,1071,115.000,18.000,1,Closed,Transformer,YES,0.00221,0.06054,0.00000,222.3,222.3,222.3
1075,1071,115.000,18.000,1,Closed,Transformer,YES,0.00133,0.04320,0.00000,264.8,264.8,264.8
1076,1071,115.000,18.000,1,Closed,Transformer,YES,0.00255,0.08407,0.00000,190.0,190.0,190.0
1077,1071,115.000,18.000,1,Closed,Transformer,YES,0.00217,0.03467,0.00000,233.8,233.8,233.8
1079,1071,115.000,500.000,1,Closed,Transformer,YES,0.00013,0.04600,0.00000,2000.0,0.0,0.0
1081,1071,115.000,230.000,1,Closed,Transformer,YES,0.00167,0.06650,0.00000,350.0,0.0,0.0
1081,1123,230.000,230.000,1,Closed,Line,NO,0.00188,0.01760,0.22901,1200.0,435.0,435.0
1081,1129,230.000,230.000,1,Closed,Line,NO,0.00062,0.00610,0.02693,414.8,414.8,414.8
1081,3058,230.000,230.000,1,Closed,Line,NO,0.00910,0.08900,0.17100,548.0,0.0,0.0
1081,12680,230.000,230.000,1,Closed,Line,NO,0.00269,0.02251,0.09776,387.3,387.3,387.3
1081,12804,230.000,230.000,1,Closed,Line,NO,0.00272,0.02695,0.07837,347.8,347.8,347.8
1082,1038,115.000,115.000,1,Closed,Line,NO,0.01115,0.04969,0.00729,149.0,0.0,0.0
1082,1069,115.000,115.000,1,Closed,Line,NO,0.02137,0.09520,0.01396,149.0,0.0,0.0
1082,13147,115.000,115.000,1,Closed,Line,NO,0.00601,0.02576,0.00773,104.3,104.3,104.3
1083,1030,115.000,115.000,1,Closed,Line,NO,0.06537,0.37334,0.05610,98.0,0.0,0.0
1083,1038,115.000,115.000,1,Closed,Line,NO,0.01000,0.05000,0.00700,221.0,0.0,0.0
1083,13189,115.000,115.000,1,Closed,Line,NO,0.00993,0.04628,0.03316,116.4,116.4,116.4
1084,1020,115.000,115.000,1,Closed,Line,NO,0.01056,0.06337,0.00860,221.0,0.0,0.0
1084,3059,115.000,115.000,1,Closed,Line,NO,0.01259,0.06511,0.01792,198.9,198.9,198.9
1084,3059,115.000,115.000,2,Closed,Line,NO,0.01259,0.06511,0.01792,198.9,198.9,198.9
1084,3059,115.000,115.000,3,Closed,Line,NO,0.01259,0.06511,0.01792,198.9,198.9,198.9
1084,3059,115.000,115.000,4,Closed,Line,NO,0.01259,0.06511,0.01792,198.9,198.9,198.9
1084,3130,115.000,115.000,1,Closed,Line,NO,0.02049,0.09131,0.01339,221.0,0.0,0.0
1084,13169,115.000,115.000,1,Closed,Line,NO,0.02305,0.09639,0.02975,230.7,230.7,230.7
1084,13169,115.000,115.000,2,Closed,Line,NO,0.02305,0.09639,0.02975,230.7,230.7,230.7
1084,13169,115.000,115.000,3,Closed,Line,NO,0.02305,0.09639,0.02975,230.7,230.7,230.7
1084,13169,115.000,115.000,4,Closed,Line,NO,0.02305,0.09639,0.02975,230.7,230.7,230.7
1085,1086,115.000,115.000,1,Closed,Line,NO,0.03392,0.14838,0.02260,287.0,287.0,287.0
1085,1094,115.000,115.000,1,Closed,Line,NO,0.01083,0.04250,0.03644,196.5,196.5,196.5
1086,1013,115.000,115.000,1,Closed,Line,NO,0.07900,0.19311,0.02529,220.0,0.0,0.0
1086,13416,115.000,115.000,1,Closed,Line,NO,0.01584,0.06421,0.05722,316.0,316.0,316.0
1086,13416,115.000,115.000,2,Closed,Line,NO,0.01584,0.06421,0.05722,316.0,316.0,316.0
1087,1046,115.000,115.000,1,Closed,Line,NO,0.03262,0.14269,0.02173,149.0,0.0,0.0
1088,1036,115.000,115.000,1,Closed,Line,NO,0.02065,0.11793,0.01772,114.0,114.0,114.0
1088,1068,115.000,115.000,1,Closed,Line,NO,0.02962,0.16921,0.02543,220.0,0.0,0.0
1088,12593,115.000,115.000,1,Closed,Line,NO,0.01136,0.07105,0.02855,204.2,204.2,204.2
1088,12855,230.000,115.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,791.0,791.0,791.0
1088,12855,230.000,115.000,2,Closed,Transformer,YES,0.00010,0.00750,0.00000,791.0,791.0,791.0
1088,13027,115.000,115.000,1,Closed,Line,NO,0.00588,0.02234,0.00414,131.5,131.5,131.5
1088,13140,115.000,115.000,1,Closed,Line,NO,0.00230,0.01252,0.00462,200.8,200.8,200.8
1088,13211,115.000,115.000,1,Closed,Line,NO,0.00220,0.00988,0.00587,241.0,241.0,241.0
1088,13211,115.000,115.000,2,Closed,Line,NO,0.00220,0.00988,0.00587,241.0,241.0,241.0
1088,13214,115.000,115.000,1,Closed,Line,NO,0.00582,0.02739,0.00425,127.9,127.9,127.9
1088,13218,115.000,115.000,1,Closed,Line,NO,0.00570,0.03165,0.00258,140.9,140.9,140.9
1088,13415,115.000,115.000,1,Closed,Line,NO,0.00842,0.03083,0.00386,124.8,124.8,124.8
1089,1054,115.000,115.000,1,Closed,Line,NO,0.08737,0.21357,0.02796,98.0,0.0,0.0
1090,1085,115.000,115.000,1,Closed,Line,NO,0.02018,0.13786,0.02346,221.0,0.0,0.0
1090,1126,115.000,115.000,1,Closed,Line,NO,0.00649,0.02757,0.00365,171.3,171.3,171.3
1091,2048,161.000,161.000,1,Closed,Line,NO,0.02193,0.09667,0.04500,187.0,0.0,0.0
1093,1094,115.000,230.000,1,Closed,Transformer,YES,0.00250,0.08500,0.00000,250.0,250.0,250.0
1093,1099,230.000,230.000,1,Closed,Line,NO,0.00241,0.02060,0.04046,452.1,452.1,452.1
1093,1115,230.000,230.000,1,Closed,Line,NO,0.00541,0.05577,0.13395,414.9,414.9,414.9
1093,1125,230.000,230.000,1,Closed,Line,NO,0.00168,0.01510,0.02080,425.8,425.8,425.8
1093,12804,230.000,230.000,1,Closed,Line,NO,0.00251,0.02467,0.09272,391.8,391.8,391.8
1095,1096,230.000,500.000,1,Closed,Transformer,YES,0.00010,0.00750,0.00000,2500.0,800.0,800.0
1095,1096,230.000,500.000,2,Closed,Transformer,YES,0.00010,0.00750,0.00000,2500.0,800.0,800.0
