Gen
Number of Bus,Sub Num of Bus,AVR,Name of Bus,ID,Min Mvar,Set Volt,Gen Mvar,Max Mvar,Status,Longitude of Bus,Latitude of Bus,Fuel Cost,IOD,IOC,IOB,Gen MW,Min MW,Max MW,AGC,Part. Factor,Fuel Type,"Ramp Rate Up, MW/Minute","Ramp Rate Down, MW/Minute"
12907,1324,YES,MCCOOK 1 3,1,-36.0000,1.0400,14.7290,53.2000,Closed,-98.409671,26.454921,0.000,0.000,0.000,0.000,250.0000,1.0000,250.0000,YES,250.0000,WND (Wind),0.000,-100.000
13405,1531,YES,SUNRAY 1 1,1,-7.1000,1.0400,-7.1000,10.5000,Closed,-101.891500,35.939571,0.000,0.000,0.000,0.000,49.5000,3.0000,49.5000,YES,49.5000,WND (Wind),0.000,-100.000
12963,1340,YES,FRIONA 1 3,1,-33.2000,1.0400,0.0000,49.1000,Open,-102.574178,34.657877,0.000,0.000,0.000,0.000,0.0000,1.0000,230.4000,YES,230.4000,WND (Wind),0.000,-100.000
1067,43,YES,BIG SPRING 7 0,1,-8.5000,1.0400,12.5000,12.5000,Closed,-101.383950,32.120785,0.000,0.000,0.000,0.000,58.8000,0.1000,58.8000,YES,58.8000,WND (Wind),0.000,-100.000
12631,1282,YES,OZONA 1 3,1,-72.1000,1.0400,73.1668,106.6000,Closed,-101.257960,30.903513,0.000,0.000,0.000,0.000,500.6000,50.0000,500.6000,YES,500.6000,WND (Wind),0.000,-100.000
12830,603,YES,MOUNT CALM 3,1,-43.2000,1.0400,0.0000,63.9000,Open,-96.823156,31.770731,0.000,0.000,0.000,0.000,0.0000,30.0000,300.0000,YES,300.0000,WND (Wind),0.000,-100.000
12960,267,YES,FALCON HEIGHTS 2 3,1,-34.2000,1.0400,3.1173,50.6000,Closed,-99.037260,26.639669,0.000,0.000,0.000,0.000,237.6000,3.5000,237.6000,YES,237.6000,WND (Wind),0.000,-100.000
12985,1349,YES,TBD 1 3,1,-32.2000,1.0400,16.0119,47.7000,Closed,-101.605560,30.930750,0.000,0.000,0.000,0.000,223.9000,0.0000,223.9000,YES,223.9000,WND (Wind),0.000,-100.000
2099,124,YES,RALLS 1 3,1,-21.6000,1.0400,25.0458,31.9000,Closed,-101.428771,33.708580,0.000,0.000,0.000,0.000,150.0000,0.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
3122,212,YES,ROSCOE 1 1,1,-28.4000,1.0400,34.0626,42.0000,Closed,-100.579160,32.492687,0.000,0.000,0.000,0.000,197.0000,0.0000,197.0000,YES,197.0000,WND (Wind),0.000,-100.000
13066,1380,YES,FLOYDADA 2 3,1,-28.8000,1.0400,0.7996,42.6000,Closed,-101.322171,34.073101,0.000,0.000,0.000,0.000,200.0000,0.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
4153,329,YES,ARMSTRONG 1 2,1,-40.8000,1.0400,14.1585,60.3000,Closed,-97.586800,26.974634,0.000,0.000,0.000,0.000,283.2000,283.2000,283.2000,YES,283.2000,WND (Wind),0.000,-100.000
3117,210,YES,SYNDER 1,1,-17.3000,1.0400,14.0949,25.6000,Closed,-100.792793,32.715671,0.000,0.000,0.000,0.000,120.0000,0.0000,120.0000,YES,120.0000,WND (Wind),0.000,-100.000
13419,1545,YES,MORSE 1 1,1,-1.4000,1.0400,-1.4000,2.1000,Closed,-101.531238,35.958444,0.000,0.000,0.000,0.000,10.0000,0.0000,10.0000,YES,10.0000,WND (Wind),0.000,-100.000
12964,93,YES,ELECTRA 3,1,-33.1000,1.0400,41.7846,49.0000,Closed,-99.117306,34.093105,0.000,0.000,0.000,0.000,230.0000,1.0000,230.0000,YES,230.0000,WND (Wind),0.000,-100.000
13003,1355,YES,LAMESA 2 3,1,-30.4000,1.0400,0.0000,45.0000,Open,-101.740571,32.695797,0.000,0.000,0.000,0.000,0.0000,0.0000,211.2000,YES,211.2000,WND (Wind),0.000,-100.000
13150,1417,YES,CLARENDON 1 3,1,-25.1000,1.0400,-16.6049,37.1000,Closed,-100.930808,35.169214,0.000,0.000,0.000,0.000,174.0000,2.0000,174.0000,YES,174.0000,WND (Wind),0.000,-100.000
12737,1292,YES,ELECTRA 1 3,1,-52.8000,1.0400,51.2616,78.1000,Closed,-99.060050,33.846171,0.000,0.000,0.000,0.000,366.6000,0.0000,366.6000,YES,366.6000,WND (Wind),0.000,-100.000
12753,1294,YES,WILSON 1 3,SD,-48.7000,1.0400,49.2348,72.1000,Closed,-101.652180,33.297178,0.000,0.000,0.000,0.000,338.4000,0.0000,338.4000,YES,338.4000,WND (Wind),0.000,-100.000
12638,1284,YES,GRAHAM 1 3,1,-72.0000,1.0400,106.5000,106.5000,Closed,-98.850687,33.117291,0.000,0.000,0.000,0.000,500.0000,0.0000,500.0000,YES,500.0000,WND (Wind),0.000,-100.000
1090,55,YES,GOLDSMITH 0,GE,-8.6000,1.0400,12.8000,12.8000,Closed,-102.824733,31.992557,0.000,0.000,0.000,0.000,60.0000,0.1000,60.0000,YES,60.0000,WND (Wind),0.000,-100.000
13172,1427,YES,ADRIAN 2 3,1,-23.2000,1.0400,-2.8018,34.3000,Closed,-102.671978,35.267392,0.000,0.000,0.000,0.000,161.0000,0.0000,161.0000,YES,161.0000,WND (Wind),0.000,-100.000
13201,1438,YES,PANHANDLE 7 3,1,-21.6000,1.0400,-6.1206,31.9000,Closed,-101.430567,35.192776,0.000,0.000,0.000,0.000,150.0000,0.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
13299,224,YES,SWEETWATER 1 3,1,-14.6000,1.0400,21.6000,21.6000,Closed,-100.128060,32.402971,0.000,0.000,0.000,0.000,101.2000,1.0000,101.2000,YES,101.2000,WND (Wind),0.000,-100.000
13130,55,YES,GOLDSMITH 3,1,-13.3000,1.0400,15.8470,19.7000,Closed,-102.826893,31.987367,0.000,0.000,0.000,0.000,92.5000,0.1000,92.5000,YES,92.5000,WND (Wind),0.000,-100.000
13180,1430,YES,BRADY 2 3,1,-23.0000,1.0400,3.7209,34.1000,Closed,-99.549916,31.355105,0.000,0.000,0.000,0.000,160.0000,0.0000,160.0000,YES,160.0000,WND (Wind),0.000,-100.000
12594,1277,YES,RANKIN 1 230,2,-7.2000,1.0400,10.7000,10.7000,Closed,-101.873947,31.169188,0.000,0.000,0.000,0.000,50.0000,0.0000,50.0000,YES,50.0000,WND (Wind),0.000,-100.000
13048,353,YES,SANTA ROSA 2 3,1,-28.8000,1.0400,21.2180,42.6000,Closed,-97.778999,26.357379,0.000,0.000,0.000,0.000,200.2000,22.0000,200.2000,YES,200.2000,WND (Wind),0.000,-100.000
12868,1315,YES,CLAUDE 1 3,1,-38.2000,1.0400,-9.3141,56.6000,Closed,-101.313511,35.081369,0.000,0.000,0.000,0.000,265.5000,0.0000,265.5000,YES,265.5000,WND (Wind),0.000,-100.000
3068,183,YES,TRENT 1 1,1,-21.9000,1.0400,25.7318,32.4000,Closed,-100.235112,32.426340,0.000,0.000,0.000,0.000,152.0000,0.0000,152.0000,YES,152.0000,WND (Wind),0.000,-100.000
13365,1503,YES,GIRVIN 1 3,01,-11.8000,1.0400,13.9812,17.5000,Closed,-102.412627,30.948742,0.000,0.000,0.000,0.000,82.0000,8.0000,82.0000,YES,82.0000,WND (Wind),0.000,-100.000
13353,913,YES,OILTON 3,1,-13.3000,1.0400,19.7000,19.7000,Closed,-99.000238,27.483904,0.000,0.000,0.000,0.000,92.3000,0.7000,92.3000,YES,92.3000,WND (Wind),0.000,-100.000
1035,26,YES,BIG SPRING 4 1,2,-12.9000,1.0400,19.1000,19.1000,Closed,-101.301197,31.978923,0.000,0.000,0.000,0.000,89.5000,0.0000,89.5000,YES,89.5000,WND (Wind),0.000,-100.000
13263,130,YES,MUENSTER 2 3,1,-18.0000,1.0400,13.8455,26.6000,Closed,-97.370569,33.696363,0.000,0.000,0.000,0.000,125.0000,2.3000,125.0000,YES,125.0000,WND (Wind),0.000,-100.000
5020,376,YES,JACKSBORO 1 2,BC,-17.3000,1.0400,25.6000,25.6000,Closed,-98.326525,33.047134,0.000,0.000,0.000,0.000,120.0000,0.0000,120.0000,YES,120.0000,WND (Wind),0.000,-100.000
12609,1279,YES,ROBERT LEE 1 3,1,-75.6000,1.0400,111.8000,111.8000,Closed,-100.695850,31.783736,0.000,0.000,0.000,0.000,525.0000,0.0000,525.0000,YES,525.0000,WND (Wind),0.000,-100.000
5238,542,YES,OLNEY 1 2,1,-28.5000,1.0400,0.0000,42.2000,Open,-98.706904,33.376096,0.000,0.000,0.000,0.000,0.0000,3.0000,198.0000,YES,198.0000,WND (Wind),0.000,-100.000
12792,32,YES,BIG LAKE 3,1,-43.5000,1.0400,64.4000,64.4000,Closed,-101.105747,31.196595,0.000,0.000,0.000,0.000,302.4000,13.0000,302.4000,YES,302.4000,WND (Wind),0.000,-100.000
3092,194,YES,ABILENE 1 4,1,-28.8000,1.0400,23.9848,42.6000,Closed,-99.654510,32.511099,0.000,0.000,0.000,0.000,200.0000,50.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
12821,1305,YES,IRAAN 4 3,1,-43.2000,1.0400,33.6175,63.9000,Closed,-101.447981,30.590879,0.000,0.000,0.000,0.000,300.0000,300.0000,300.0000,YES,300.0000,WND (Wind),0.000,-100.000
13308,702,YES,MINGUS 3,1,-14.5000,1.0400,21.4000,21.4000,Closed,-98.376849,32.368455,0.000,0.000,0.000,0.000,100.5000,3.8000,100.5000,YES,100.5000,WND (Wind),0.000,-100.000
12848,1312,YES,NAZARETH 1 3,1,-41.5000,1.0400,-6.3610,61.3000,Closed,-102.039344,34.499336,0.000,0.000,0.000,0.000,288.0000,0.0000,288.0000,YES,288.0000,WND (Wind),0.000,-100.000
12884,1318,YES,FLOYDADA 1 3,1,-37.0000,1.0400,50.4795,54.7000,Closed,-101.094682,33.817523,0.000,0.000,0.000,0.000,257.0000,1.7000,257.0000,YES,257.0000,WND (Wind),0.000,-100.000
12930,238,YES,BRUNI 2 3,1,-36.0000,1.0400,15.3262,53.2000,Closed,-98.998560,27.313283,0.000,0.000,0.000,0.000,249.7000,0.0000,249.7000,YES,249.7000,WND (Wind),0.000,-100.000
1070,45,YES,IRAAN 1 1,1,-24.1000,1.0400,0.0000,35.7000,Open,-102.085260,30.906372,0.000,0.000,0.000,0.000,0.0000,0.0000,167.7000,YES,167.7000,WND (Wind),0.000,-100.000
13367,1504,YES,ROSCOE 7 3,1,-11.6000,1.0400,1.7408,17.1000,Closed,-100.481860,32.231767,0.000,0.000,0.000,0.000,80.5000,0.0000,80.5000,YES,80.5000,WND (Wind),0.000,-100.000
2078,112,YES,MUENSTER 1 1,1,-16.2000,1.0400,12.1763,24.0000,Closed,-97.426966,33.725521,0.000,0.000,0.000,0.000,112.5000,5.6000,112.5000,YES,112.5000,WND (Wind),0.000,-100.000
3115,209,YES,ROTAN 0,1,-4.3000,1.0400,6.4000,6.4000,Closed,-100.522817,32.968816,0.000,0.000,0.000,0.000,30.0000,0.0000,30.0000,YES,30.0000,WND (Wind),0.000,-100.000
1039,29,YES,FORT STOCKTON 1 1,1,-19.0000,1.0400,8.9552,28.1000,Closed,-102.504368,30.763604,0.000,0.000,0.000,0.000,132.0000,2.0000,132.0000,YES,132.0000,WND (Wind),0.000,-100.000
12844,1311,YES,BAIRD 1 3,1,-42.2000,1.0400,0.0000,62.5000,Open,-99.291056,32.286983,0.000,0.000,0.000,0.000,0.0000,23.0000,293.3000,YES,293.3000,WND (Wind),0.000,-100.000
12827,1307,YES,MART 1 3,1,-43.2000,1.0400,0.0000,63.9000,Open,-96.902632,31.543425,0.000,0.000,0.000,0.000,0.0000,3.0000,300.0000,YES,300.0000,WND (Wind),0.000,-100.000
13054,1374,YES,SEBASTIAN 3 3,1,-28.8000,1.0400,5.1783,42.6000,Closed,-97.584260,26.326525,0.000,0.000,0.000,0.000,200.0000,0.1000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
12971,1342,YES,RAYMONDVILLE 1 3,1,-32.8000,1.0400,12.1893,48.6000,Closed,-97.689671,26.514169,0.000,0.000,0.000,0.000,228.0000,0.0000,228.0000,YES,228.0000,WND (Wind),0.000,-100.000
12818,1304,YES,BRUNI 3 3,1,-43.2000,1.0400,-32.1451,63.9000,Closed,-98.793060,27.607712,0.000,0.000,0.000,0.000,300.0000,1.0000,300.0000,YES,300.0000,WND (Wind),0.000,-100.000
13158,1420,YES,BLACKWELL 1 3,1,-24.4000,1.0400,20.2419,36.1000,Closed,-100.267160,32.194140,0.000,0.000,0.000,0.000,169.5000,0.0000,169.5000,YES,169.5000,WND (Wind),0.000,-100.000
3060,180,YES,STERLING CITY 1 2,2,-30.9000,1.0400,45.7000,45.7000,Closed,-101.002376,31.944321,0.000,0.000,0.000,0.000,214.5000,7.5000,214.5000,YES,214.5000,WND (Wind),0.000,-100.000
3081,191,YES,HERMLEIGH 3,1,-35.9000,1.0400,53.0000,53.0000,Closed,-100.670910,32.585301,0.000,0.000,0.000,0.000,249.0000,0.0000,249.0000,YES,249.0000,WND (Wind),0.000,-100.000
12956,251,YES,EDCOUCH 3,1,-34.5000,1.0400,32.7569,51.1000,Closed,-97.991605,26.362137,0.000,0.000,0.000,0.000,239.8000,22.0000,239.8000,YES,239.8000,WND (Wind),0.000,-100.000
13374,1507,YES,HEBBRONVILLE 1 3,1,-11.2000,1.0400,-1.8693,16.6000,Closed,-98.913067,27.169591,0.000,0.000,0.000,0.000,78.0000,0.8000,78.0000,YES,78.0000,WND (Wind),0.000,-100.000
13047,1372,YES,CHILICOTHE 1 3,1,-28.8000,1.0400,8.8113,42.6000,Closed,-99.561996,34.165424,0.000,0.000,0.000,0.000,200.2000,1.0000,200.2000,YES,200.2000,WND (Wind),0.000,-100.000
13060,1377,YES,GROOM 1 3,1,-28.8000,1.0400,-6.2476,42.6000,Closed,-101.183022,35.238749,0.000,0.000,0.000,0.000,200.0000,0.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
13030,1365,YES,CROWELL 1 3,1,-29.2000,1.0400,15.5975,43.1000,Closed,-99.656365,33.832600,0.000,0.000,0.000,0.000,202.5000,0.0000,202.5000,YES,202.5000,WND (Wind),0.000,-100.000
2042,86,YES,PANHANDLE 3 1,1,-11.5000,1.0400,-1.1529,17.0000,Closed,-101.574972,35.364757,0.000,0.000,0.000,0.000,79.6000,4.0000,79.6000,YES,79.6000,WND (Wind),0.000,-100.000
12931,250,YES,CORPUS CHRISTI 16 3,1,-35.9000,1.0400,0.0000,53.0000,Open,-97.499393,27.579418,0.000,0.000,0.000,0.000,0.0000,0.0000,249.0000,YES,249.0000,WND (Wind),0.000,-100.000
13118,1403,YES,GOLDTHWAITE 3 3,1,-28.3000,1.0400,0.0000,41.9000,Open,-98.357920,31.387307,0.000,0.000,0.000,0.000,0.0000,0.1000,196.8000,YES,196.8000,WND (Wind),0.000,-100.000
1006,4,YES,BIG SPRING 5 1,1,-17.3000,1.0400,25.6000,25.6000,Closed,-101.472171,32.230229,0.000,0.000,0.000,0.000,120.0000,0.0000,120.0000,YES,120.0000,WND (Wind),0.000,-100.000
3056,179,YES,WINGATE 3,2,-32.2000,1.0400,47.6000,47.6000,Closed,-100.040560,32.202754,0.000,0.000,0.000,0.000,223.5000,0.1000,223.5000,YES,223.5000,WND (Wind),0.000,-100.000
12745,62,YES,VERNON 2 3,1,-50.4000,1.0400,44.0436,74.6000,Closed,-99.738838,33.905456,0.000,0.000,0.000,0.000,350.3000,0.3000,350.3000,YES,350.3000,WND (Wind),0.000,-100.000
13129,1408,YES,RIO HONDO 1 3,1,-23.8000,1.0400,24.2164,35.1000,Closed,-97.464671,26.188494,0.000,0.000,0.000,0.000,165.0000,55.0000,165.0000,YES,165.0000,WND (Wind),0.000,-100.000
3028,164,YES,ABILENE 2 2,1,-28.8000,1.0400,0.0000,42.6000,Open,-99.490910,32.624122,0.000,0.000,0.000,0.000,0.0000,50.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
4105,296,YES,TAFT 2 1,1,-25.9000,1.0400,0.0000,38.3000,Open,-97.449960,27.936056,0.000,0.000,0.000,0.000,0.0000,0.0000,180.0000,YES,180.0000,WND (Wind),0.000,-100.000
13156,1419,YES,RANKIN 2 3,1,-24.7000,1.0400,36.6000,36.6000,Closed,-101.830163,31.152032,0.000,0.000,0.000,0.000,171.8000,0.0000,171.8000,YES,171.8000,WND (Wind),0.000,-100.000
13392,1518,YES,FLOYDADA 4 1,1,-8.2000,1.0400,12.1000,12.1000,Closed,-101.095000,34.102615,0.000,0.000,0.000,0.000,57.0000,0.0000,57.0000,YES,57.0000,WND (Wind),0.000,-100.000
13011,1359,YES,SAN YGNACIO 1 3,1,-30.2000,1.0400,9.7908,44.6000,Closed,-99.384788,27.016650,0.000,0.000,0.000,0.000,209.4000,20.0000,209.4000,YES,209.4000,WND (Wind),0.000,-100.000
13168,1425,YES,TAFT 3 3,1,-23.5000,1.0400,9.5660,34.7000,Closed,-97.298762,27.949570,0.000,0.000,0.000,0.000,162.9000,0.0000,162.9000,YES,162.9000,WND (Wind),0.000,-100.000
3061,180,YES,STERLING CITY 1 3,3,-26.8000,1.0400,39.6000,39.6000,Closed,-101.002376,31.943099,0.000,0.000,0.000,0.000,186.0000,14.9000,186.0000,YES,186.0000,WND (Wind),0.000,-100.000
3065,181,YES,ROSCOE 4 1,1,-26.3000,1.0400,4.6044,38.9000,Closed,-100.490468,32.191750,0.000,0.000,0.000,0.000,182.4000,0.1000,182.4000,YES,182.4000,WND (Wind),0.000,-100.000
1026,19,YES,BIG SPRINGS 1,1,-17.9000,1.0400,23.3340,26.5000,Closed,-101.218560,32.030150,0.000,0.000,0.000,0.000,124.2000,0.0000,124.2000,YES,124.2000,WND (Wind),0.000,-100.000
13279,49,YES,BIG SPRING 2 3,1,-16.6000,1.0400,24.6000,24.6000,Closed,-101.296860,31.915017,0.000,0.000,0.000,0.000,115.5000,0.0000,115.5000,YES,115.5000,WND (Wind),0.000,-100.000
13068,1381,YES,MIRANDO 1 3,1,-28.8000,1.0400,19.8218,42.6000,Closed,-98.908560,27.430734,0.000,0.000,0.000,0.000,200.0000,0.1000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
13112,1401,YES,HASKELL 2 3,1,-28.8000,1.0400,18.2521,42.6000,Closed,-99.475580,33.210642,0.000,0.000,0.000,0.000,200.0000,0.0000,200.0000,YES,200.0000,WND (Wind),0.000,-100.000
3057,179,YES,WINGATE 4,1,-30.7000,1.0400,0.0000,45.4000,Open,-100.040560,32.201535,0.000,0.000,0.000,0.000,0.0000,0.1000,213.0000,YES,213.0000,WND (Wind),0.000,-100.000
13290,1473,YES,RIO GRANDE CITY 4 3,1,-15.8000,1.0400,4.6287,23.4000,Closed,-98.570114,26.403628,0.000,0.000,0.000,0.000,110.0000,0.1000,110.0000,YES,110.0000,WND (Wind),0.000,-100.000
13199,1437,YES,CHRISTOVAL 1 3,1,-21.6000,1.0400,31.9000,31.9000,Closed,-100.677380,31.080194,0.000,0.000,0.000,0.000,150.0000,0.0000,150.0000,YES,150.0000,WND (Wind),0.000,-100.000
13242,1457,YES,EDEN 1 3,1,-21.4000,1.0400,0.0000,31.6000,Open,-100.026702,31.108467,0.000,0.000,0.000,0.000,0.0000,3.4000,148.4000,YES,148.4000,WND (Wind),0.000,-100.000
