Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
5462,DALLAS 34 0,North Central,1,1,Closed,153.81,46.07,160.57,153.81,46.07,Closed,0.00,0.00
5280,TEMPLE 1 1,North Central,1,2,Closed,153.79,26.81,156.11,153.79,26.81,Closed,0.00,0.00
5477,HARKER HEIGHTS 0,North Central,1,1,Closed,152.38,43.22,158.39,152.38,43.22,Closed,0.00,0.00
6355,ROUND ROCK 4 1,South Central,1,1,Closed,151.82,52.81,160.74,151.82,52.81,Closed,0.00,0.00
7235,CYPRESS 2 0,Coast,1,1,Closed,151.62,4.59,151.69,151.62,4.59,Closed,0.00,0.00
5012,DENTON 5 0,North Central,1,1,Closed,151.19,20.81,152.62,151.19,20.81,Closed,0.00,0.00
7296,HOUSTON 85 0,Coast,1,1,Closed,151.17,-26.88,153.55,151.17,-26.88,Closed,0.00,0.00
5116,PLANO 7 0,North Central,1,1,Closed,150.06,40.11,155.33,150.06,40.11,Closed,0.00,0.00
7120,HOUSTON 3 0,Coast,1,1,Closed,149.70,42.41,155.59,149.70,42.41,Closed,0.00,0.00
7161,HOUSTON 5 2,Coast,1,1,Closed,148.43,38.97,153.46,148.43,38.97,Closed,0.00,0.00
6061,AUSTIN 7 0,South Central,1,1,Closed,147.90,41.91,153.73,147.90,41.91,Closed,0.00,0.00
3114,SAN ANGELO 2 0,West,1,2,Closed,147.49,62.26,160.10,147.49,62.26,Closed,0.00,0.00
5203,DALLAS 35 0,North Central,1,1,Closed,147.01,41.65,152.80,147.01,41.65,Closed,0.00,0.00
8095,COLLEGE STATION 1 1,East,1,1,Closed,146.81,41.60,152.59,146.81,41.60,Closed,0.00,0.00
4122,MCALLEN 1 0,South,1,1,Closed,146.11,78.73,165.97,146.11,78.73,Closed,0.00,0.00
7259,HOUSTON 13 0,Coast,1,1,Closed,146.05,41.38,151.80,146.05,41.38,Closed,0.00,0.00
7036,CONROE 5 1,Coast,1,1,Closed,146.00,26.15,148.33,146.00,26.15,Closed,0.00,0.00
5441,FORT WORTH 20 0,North Central,1,1,Closed,145.18,75.36,163.57,145.18,75.36,Closed,0.00,0.00
1117,IND W TWFV 11_230,Far West,1,1,Closed,144.61,28.72,147.44,144.61,28.72,Closed,0.00,0.00
1112,IND W TWFV 8_115,Far West,1,3,Closed,144.51,111.62,182.60,144.51,111.62,Closed,0.00,0.00
5291,FORT WORTH 25 0,North Central,1,1,Closed,144.17,-13.98,144.85,144.17,-13.98,Closed,0.00,0.00
7017,HOUSTON 73 0,Coast,1,1,Closed,143.75,114.00,183.47,143.75,114.00,Closed,0.00,0.00
7330,HOUSTON 60 0,Coast,1,2,Closed,143.58,40.68,149.23,143.58,40.68,Closed,0.00,0.00
5130,PLANO 5 0,North Central,1,1,Closed,141.19,108.23,177.90,141.19,108.23,Closed,0.00,0.00
2114,PARIS 1 1,North,1,1,Closed,140.57,15.15,141.38,140.57,15.15,Closed,0.00,0.00
7421,MAGNOLIA 1 1,Coast,1,1,Closed,140.34,25.68,142.67,140.34,25.68,Closed,0.00,0.00
5022,ALEDO 1 1,North Central,1,1,Closed,140.24,39.73,145.76,140.24,39.73,Closed,0.00,0.00
6187,AUSTIN 28 0,South Central,1,1,Closed,140.10,35.30,144.48,140.10,35.30,Closed,0.00,0.00
6310,SAN ANTONIO 4 0,South Central,1,1,Closed,139.58,26.14,142.00,139.58,26.14,Closed,0.00,0.00
6168,SAN ANTONIO 45 0,South Central,1,1,Closed,138.23,29.26,141.29,138.23,29.26,Closed,0.00,0.00
7013,HOUSTON 80 0,Coast,1,1,Closed,138.05,-26.19,140.51,138.05,-26.19,Closed,0.00,0.00
5478,IRVING 3 0,North Central,1,1,Closed,137.94,39.08,143.37,137.94,39.08,Closed,0.00,0.00
7174,HOUSTON 8 0,Coast,1,1,Closed,137.26,22.10,139.02,137.26,22.10,Closed,0.00,0.00
5287,ARLINGTON 2 0,North Central,1,2,Closed,136.63,28.46,139.56,136.63,28.46,Closed,0.00,0.00
5173,PLANO 3 0,North Central,1,1,Closed,136.36,38.63,141.72,136.36,38.63,Closed,0.00,0.00
6220,SAN ANTONIO 13 0,South Central,1,1,Closed,136.20,53.36,146.28,136.20,53.36,Closed,0.00,0.00
6356,SAN ANTONIO 34 0,South Central,1,1,Closed,135.92,38.51,141.27,135.92,38.51,Closed,0.00,0.00
6028,AUSTIN 31 0,South Central,1,1,Closed,135.85,29.28,138.97,135.85,29.28,Closed,0.00,0.00
7385,HOUSTON 75 0,Coast,1,1,Closed,135.24,38.32,140.57,135.24,38.32,Closed,0.00,0.00
7398,PASADENA 5 0,Coast,1,1,Closed,135.01,-10.41,135.41,135.01,-10.41,Closed,0.00,0.00
7301,WEBSTER 0,Coast,1,1,Closed,135.00,19.60,136.42,135.00,19.60,Closed,0.00,0.00
5312,AZLE 0,North Central,1,1,Closed,134.76,23.18,136.74,134.76,23.18,Closed,0.00,0.00
6178,SAN ANTONIO 51 1,South Central,1,1,Closed,134.45,38.09,139.74,134.45,38.09,Closed,0.00,0.00
5447,ARLINGTON 11 0,North Central,1,2,Closed,134.17,73.79,153.13,134.17,73.79,Closed,0.00,0.00
5010,PLANO 2 0,North Central,1,1,Closed,133.87,94.09,163.62,133.87,94.09,Closed,0.00,0.00
5389,WACO 2 1,North Central,1,1,Closed,133.62,34.08,137.89,133.62,34.08,Closed,0.00,0.00
5193,KILLEEN 4 1,North Central,1,2,Closed,133.47,39.12,139.09,133.47,39.12,Closed,0.00,0.00
2107,SHERMAN 2 0,North,1,1,Closed,133.20,21.01,134.85,133.20,21.01,Closed,0.00,0.00
6023,LEANDER 1 2,South Central,1,1,Closed,132.89,37.65,138.12,132.89,37.65,Closed,0.00,0.00
5249,FORT WORTH 29 0,North Central,1,1,Closed,132.72,23.53,134.79,132.72,23.53,Closed,0.00,0.00
7074,GALVESTON 1 1,Coast,1,1,Closed,132.64,21.59,134.38,132.64,21.59,Closed,0.00,0.00
4190,LAREDO 5 0,South,1,1,Closed,132.46,60.40,145.58,132.46,60.40,Closed,0.00,0.00
6098,AUSTIN 12 0,South Central,1,1,Closed,132.22,37.46,137.42,132.22,37.46,Closed,0.00,0.00
5103,RICHARDSON 2 1,North Central,1,1,Closed,132.03,37.83,137.34,132.03,37.83,Closed,0.00,0.00
7055,HOUSTON 33 0,Coast,1,1,Closed,131.68,27.79,134.58,131.68,27.79,Closed,0.00,0.00
5007,DENTON 4 0,North Central,1,1,Closed,131.44,20.42,133.02,131.44,20.42,Closed,0.00,0.00
1029,MIDLAND 3 0,Far West,1,1,Closed,131.33,23.57,133.42,131.33,23.57,Closed,0.00,0.00
6115,SAN ANTONIO 5 0,South Central,1,1,Closed,131.13,-17.22,132.26,131.13,-17.22,Closed,0.00,0.00
5357,ALLEN 2 0,North Central,1,1,Closed,130.89,-0.43,130.89,130.89,-0.43,Closed,0.00,0.00
3030,SAN ANGELO 1 0,West,1,1,Closed,129.72,36.75,134.83,129.72,36.75,Closed,0.00,0.00
5178,ROCKWALL 1 0,North Central,1,1,Closed,129.64,23.79,131.81,129.64,23.79,Closed,0.00,0.00
6278,KYLE 1,South Central,1,2,Closed,128.86,65.57,144.59,128.86,65.57,Closed,0.00,0.00
1109,IND W TWFV 7_230,Far West,1,1,Closed,128.76,51.42,138.65,128.76,51.42,Closed,0.00,0.00
6330,AUSTIN 9 0,South Central,1,2,Closed,128.46,11.71,128.99,128.46,11.71,Closed,0.00,0.00
6017,CIBOLO 0,South Central,1,1,Closed,128.40,-25.48,130.91,128.40,-25.48,Closed,0.00,0.00
5117,FORT WORTH 5 0,North Central,1,1,Closed,128.28,36.35,133.33,128.28,36.35,Closed,0.00,0.00
4088,PHARR 0,South,1,1,Closed,128.18,60.21,141.62,128.18,60.21,Closed,0.00,0.00
6337,SAN ANTONIO 30 0,South Central,1,1,Closed,127.62,34.34,132.16,127.62,34.34,Closed,0.00,0.00
7257,PEARLAND 1 0,Coast,1,1,Closed,127.60,36.03,132.59,127.60,36.03,Closed,0.00,0.00
4126,BROWNSVILLE 3 0,South,1,1,Closed,127.38,15.43,128.31,127.38,15.43,Closed,0.00,0.00
4003,EDINBURG 3 0,South,1,1,Closed,127.29,36.07,132.30,127.29,36.07,Closed,0.00,0.00
5216,FORT WORTH 6 0,North Central,1,1,Closed,127.24,18.86,128.63,127.24,18.86,Closed,0.00,0.00
5253,FLOWER MOUND 1 0,North Central,1,1,Closed,126.68,35.89,131.66,126.68,35.89,Closed,0.00,0.00
5333,RED OAK 0,North Central,1,1,Closed,126.49,30.63,130.15,126.49,30.63,Closed,0.00,0.00
4033,LAREDO 6 0,South,1,1,Closed,126.25,35.77,131.22,126.25,35.77,Closed,0.00,0.00
1108,IND W TWFV 6_115,Far West,1,3,Closed,125.99,52.80,136.61,125.99,52.80,Closed,0.00,0.00
7388,HOUSTON 68 0,Coast,1,1,Closed,125.97,8.33,126.24,125.97,8.33,Closed,0.00,0.00
1123,IND W TWFV 14_230,Far West,1,2,Closed,125.74,0.00,125.74,125.74,0.00,Closed,0.00,0.00
5168,DALLAS 39 0,North Central,1,1,Closed,125.67,37.68,131.20,125.67,37.68,Closed,0.00,0.00
1104,IND W TWFV 4_115,Far West,1,3,Closed,125.19,86.93,152.41,125.19,86.93,Closed,0.00,0.00
7067,HOUSTON 28 0,Coast,1,1,Closed,125.19,23.43,127.36,125.19,23.43,Closed,0.00,0.00
7260,CHANNELVIEW 2 0,Coast,1,1,Closed,124.64,35.31,129.54,124.64,35.31,Closed,0.00,0.00
3123,UVALDE 0,West,1,1,Closed,123.65,-21.57,125.52,123.65,-21.57,Closed,0.00,0.00
5064,ARLINGTON 1 1,North Central,1,1,Closed,123.56,21.84,125.48,123.56,21.84,Closed,0.00,0.00
7217,HOUSTON 23 0,Coast,1,1,Closed,123.13,21.64,125.02,123.13,21.64,Closed,0.00,0.00
5251,GRAND PRAIRIE 2 0,North Central,1,1,Closed,123.12,34.88,127.97,123.12,34.88,Closed,0.00,0.00
5356,GARLAND 3 0,North Central,1,1,Closed,122.43,34.69,127.25,122.43,34.69,Closed,0.00,0.00
6205,AUSTIN 29 0,South Central,1,1,Closed,121.95,35.32,126.96,121.95,35.32,Closed,0.00,0.00
7234,PORTER 0,Coast,1,1,Closed,121.94,9.49,122.31,121.94,9.49,Closed,0.00,0.00
4128,RIO GRANDE CITY 0,South,1,2,Closed,121.36,34.39,126.14,121.36,34.39,Closed,0.00,0.00
5090,DALLAS 15 0,North Central,1,1,Closed,121.30,30.81,125.15,121.30,30.81,Closed,0.00,0.00
7118,SPRING 4 0,Coast,1,1,Closed,121.15,32.48,125.43,121.15,32.48,Closed,0.00,0.00
7403,PASADENA 4 0,Coast,1,1,Closed,121.02,3.40,121.07,121.02,3.40,Closed,0.00,0.00
5387,FORT WORTH 21 0,North Central,1,1,Closed,120.19,53.37,131.51,120.19,53.37,Closed,0.00,0.00
5411,KILLEEN 3 1,North Central,1,1,Closed,120.07,34.02,124.80,120.07,34.02,Closed,0.00,0.00
6136,GEORGETOWN 2 0,South Central,1,1,Closed,119.73,20.17,121.41,119.73,20.17,Closed,0.00,0.00
5461,TEMPLE 3 0,North Central,1,1,Closed,119.29,20.63,121.06,119.29,20.63,Closed,0.00,0.00
5006,DALLAS 24 0,North Central,1,1,Closed,118.83,28.39,122.18,118.83,28.39,Closed,0.00,0.00
5175,DENTON 3 0,North Central,1,1,Closed,118.67,-8.89,119.00,118.67,-8.89,Closed,0.00,0.00
7158,KINGWOOD 1 0,Coast,1,1,Closed,118.65,22.20,120.71,118.65,22.20,Closed,0.00,0.00
4107,DONNA 0,South,1,1,Closed,118.36,33.54,123.02,118.36,33.54,Closed,0.00,0.00
7102,TOMBALL 1 0,Coast,1,1,Closed,118.05,33.45,122.70,118.05,33.45,Closed,0.00,0.00
5145,GRAND PRAIRIE 1 0,North Central,1,1,Closed,117.86,33.39,122.49,117.86,33.39,Closed,0.00,0.00
4020,CORPUS CHRISTI 16 0,South,1,1,Closed,117.81,42.76,125.33,117.81,42.76,Closed,0.00,0.00
7248,HOUSTON 74 0,Coast,1,2,Closed,117.62,33.33,122.25,117.62,33.33,Closed,0.00,0.00
6150,SAN ANTONIO 36 0,South Central,1,1,Closed,117.27,33.23,121.88,117.27,33.23,Closed,0.00,0.00
7072,DICKINSON 0,Coast,1,1,Closed,116.42,69.49,135.58,116.42,69.49,Closed,0.00,0.00
